Rank,Team,Location,YTD,TOTAL
1.,Gill/Hewitt,Australia,190.7,190.7
2.,Kim/Jeong,Korea,172.5,172.5
3.,Skaslien/Nedregotten,Norway,167.8,167.8
4.,Ye/Yu,China,150.1,150.1
5.,Koana/Aoki,Japan,145.6,145.6
6.,Westman/Ahlberg,Sweden,137.5,137.5
7.,Thiesse/Dropkin,Minnesota,131.1,131.1
8.,Zelingrova/Chabicovsky,Czechia,107.0,107.0
9.,Ford/Campbell,Ontario,106.3,106.3
10.,Perret/Rios,Switzerland,100.5,100.5
11.,Neil/McDonald,Ontario,87.4,87.4
12.,Matsumura/Tanida,Japan,84.0,84.0
13.,Craig/Craig,Ontario,79.5,79.5
14.,Weeks/Steep,Ontario,75.2,75.2
15.,Kaldvee/Lill,Estonia,72.4,72.4
16.,Adams/Robichaud,New Brunswick,70.3,70.3
17.,Dodds/Mouat,Great Britain,68.2,68.2
18.,Smith/Niepage,Ontario,66.7,66.7
19.,Zhang/Wang,China,64.5,64.5
20.,Kjaerland/Braenden,Norway,61.7,61.7
21.,Walczak/Augustyniak,Poland,61.1,61.1
22.,Gionest/Desjardins,Quebec,59.0,59.0
23.,Schoell/Sutor,Germany,57.8,57.8
24.,Fenson/Stopera,Minnesota,55.7,55.7
25.,Gray-Withers/Pietrangelo,Alberta,54.9,54.9
26.,Spruit/Spruit,Ontario,52.9,52.9
27.,Jones/Laing,Ontario,51.9,51.9
28.,Schwaller/Schwaller,Switzerland,51.4,51.4
29.,Cave/King,Ontario,50.0,50.0
30.,Maheux/Maheux,Quebec,49.7,49.7
31.,Engler/Wunderlin,Switzerland,48.7,48.7
32.,Brunton/Forget,Ontario,46.2,46.2
33.,Gaidule/Buncis,Latvia,45.6,45.6
34.,Kim/Yoo,Korea,44.0,44.0
35.,Peterman/Gallant,Alberta,43.4,43.4
36.,Martin/Laycock,Saskatchewan,41.9,41.9
37.,Watson/Beland,New Brunswick,41.6,41.6
38.,Sanscartier/Caron,Quebec,41.0,41.0
39.,Woo/Wenzek,British Columbia,39.2,39.2
40.,Barbarin/Coulot,France,39.1,39.1
41.,Tremblay/Lanoue,Quebec,38.4,38.4
42.,Senneker/Visnich,Michigan,38.0,38.0
43.,Immonen/Sipila,Finland,37.8,37.8
44.,Nathan/Nathan,Ontario,37.2,37.2
45.,Wasylkiw/Konings,Ontario,36.5,36.5
46.,Lee/Kim,Korea,36.0,36.0
47.,Abbes/Harsch,Germany,35.4,35.4
48.,Mallett/Jackson,Ontario,35.3,35.3
49.,Bouchard/Charest,Quebec,35.1,35.1
50.,Lott/Lott,Manitoba,32.4,32.4
51.,Kim/Jeong,Korea,32.0,32.0
52.,Feldkamp/Villard,Ontario,31.7,31.7
53.,Forster/Forster,Ontario,31.5,31.5
54.,Roenning/Buraas,Denmark,30.5,30.5
55.,Sengul/Cakir,Turkiye,29.4,29.4
56.,Walker/Muyres,Alberta,27.3,27.3
57.,Tiuliakova/Totzek,Germany,26.9,26.9
58.,Bailey/Sipura,Ontario,26.6,26.6
59.,Butler/Butler,Ontario,26.4,26.4
60.,Wilson/Dow,Ontario,26.3,26.3
61.,Udvardi-Palancsa/Tatar,Hungary,25.3,25.3
62.,Kim/Kim,Korea,24.0,24.0
63.,Park/Kim,Korea,24.0,24.0
64.,Kim/Lee,Korea,24.0,24.0
65.,Shim/Park,Korea,24.0,24.0
66.,Burghout/Thompson,Ontario,23.7,23.7
67.,Marchand/Charbonneau,Quebec,23.6,23.6
68.,Wrana/Wrana,Sweden,23.4,23.4
69.,Campbell/Carr,New Brunswick,22.3,22.3
70.,McMillan/Bryce,Scotland,21.8,21.8
71.,Wynter/Sallaj,New Brunswick,20.8,20.8
72.,Ryhorchuk/Peterson,Alberta,20.1,20.1
73.,Ueno/Yamaguchi,Japan,20.0,20.0
74.,Coleman/Robertson,California,19.7,19.7
75.,Holtermann/Holtermann,Denmark,19.3,19.3
76.,Hueppi/Weiss,Switzerland,18.9,18.9
77.,Cheal/Cheal,Quebec,18.9,18.9
78.,Bomas/Gosgens,Netherlands,18.4,18.4
79.,Tonoli/Hoekman,Netherlands,18.3,18.3
80.,Lee/Kim,Korea,18.0,18.0
81.,Johnston/Johnston,New Brunswick,18.0,18.0
82.,Loken/Tanaka,British Columbia,17.9,17.9
83.,Ostrowski/Nickel,Minnesota,17.7,17.7
84.,Tanguay/Charbonneau,Quebec,17.3,17.3
85.,Moores/Wheeler,Colorado,17.2,17.2
86.,Richards/Davies,Alberta,17.1,17.1
87.,Otaegi/Unanue,Spain,16.5,16.5
88.,Cull/Garand,Quebec,16.4,16.4
89.,Klimova/Klima,Czechia,16.2,16.2
90.,Ford/Krowchuk,Ontario,16.0,16.0
91.,Weldon/Franey,Colorado,16.0,16.0
92.,Davie/Watt,Scotland,16.0,16.0
93.,Cinnamon/Tao,Alberta,15.8,15.8
94.,Jensen/Meister,British Columbia,15.4,15.4
95.,Meister/Jensen,British Columbia,15.4,15.4
96.,Gagne/Morissette,Quebec,15.1,15.1
97.,Kim/Seong,Korea,15.0,15.0
98.,Springer/Springer,Saskatchewan,15.0,15.0
99.,Neary/Hancock,Newfoundland / Labrador,14.8,14.8
100.,Matulova/Moravcik,Slovakia,14.7,14.7
101.,Hagenbuch/Laufer,Illinois,14.6,14.6
102.,Dudt/Dudt,Pennsylvania,14.6,14.6
103.,Scebbi/Scebbi,Ohio,14.3,14.3
104.,Tracy/Riggs,New Brunswick,14.3,14.3
105.,Robertson/Robertson,Ontario,14.1,14.1
106.,Trembath/Grassie,Manitoba,14.0,14.0
107.,Grassie/Trembath,Manitoba,14.0,14.0
108.,Remeshylo/Derksen,Saskatchewan,13.8,13.8
109.,Podoll/Parry,North Dakota,13.6,13.6
110.,Burgess/Morin,Alberta,12.7,12.7
111.,Fellmann/Kovalchuk,Quebec,12.4,12.4
112.,Roach/Gilbert,Ontario,12.4,12.4
113.,Seol/Kim,Korea,12.0,12.0
114.,Park/Jeon,Korea,12.0,12.0
115.,Yang/Lee,Korea,12.0,12.0
116.,Morissette/Hudon,Quebec,12.0,12.0
117.,Kraft/Kraft,North Dakota,12.0,12.0
118.,Yarmuch/Sawiak,Alberta,11.7,11.7
119.,Henwood/Maude,Ontario,11.6,11.6
120.,Westhagen/Panoussi,Australia,11.6,11.6
121.,Blackburn/Fortin,Quebec,11.3,11.3
122.,Kiemele/Singer,Ontario,11.3,11.3
123.,Chao/Fowler,Illinois,11.2,11.2
124.,McGillivray/Cowan,British Columbia,11.1,11.1
125.,Holt/Brenden,North Dakota,11.0,11.0
126.,Ouellet/Rousseau,Quebec,10.9,10.9
127.,Shaw/Garcia Revuelto,Spain,10.9,10.9
128.,Garcia Revuelto/Shaw,Spain,10.9,10.9
129.,Hausstatter/Svorkmo-Lundberg,Norway,10.8,10.8
130.,Lamontagne/LaMontagne,Saskatchewan,10.4,10.4
131.,Chou/Liu,Chinese Taipei,10.4,10.4
132.,Serra/Tompkins,Mexico,9.9,9.9
133.,Ideson/Henry,Ontario,9.9,9.9
134.,Shipmaker/Shinde,Ontario,9.8,9.8
135.,Fleming/Bestland,Minnesota,9.5,9.5
136.,Millikin/Millikin,Australia,9.5,9.5
137.,Headley/Headley,Ontario,9.4,9.4
138.,Leong/Munroe,Alberta,9.3,9.3
139.,Munroe/Leong,Alberta,9.3,9.3
140.,Joo/Karasz,Hungary,9.2,9.2
141.,Kang/Lee,Korea,9.0,9.0
142.,Kim/Park,Korea,9.0,9.0
143.,Bang/Kim,Korea,9.0,9.0
144.,Hwang/Park,Korea,9.0,9.0
145.,Kim/Park,Korea,9.0,9.0
146.,Forsythe/Stewart,New Brunswick,8.9,8.9
147.,Nilsson/Olofsson,Sweden,8.7,8.7
148.,Rozon/Champ,Ontario,8.6,8.6
149.,Mayra/Kirby,Michigan,8.5,8.5
150.,Papley/Van Amsterdam,Alberta,8.5,8.5
151.,Johns/Johns,Australia,8.4,8.4
152.,Fortin/Descoteaux,Quebec,8.1,8.1
153.,Klimova/Klima,Czechia,8.1,8.1
154.,Rykove/Rykov,Lithuania,8.0,8.0
155.,Kawleski/Kauffman,North Dakota,7.8,7.8
156.,Paquette/Daoust,Northern Ontario,7.5,7.5
157.,Arbuckle/Macdonell,Manitoba,7.4,7.4
158.,Mackenzie/Middleton,British Columbia,7.2,7.2
159.,Stevens/Weagle,Nova Scotia,7.2,7.2
160.,Pohlod/Fenton,British Columbia,7.1,7.1
161.,Comeau/Smeltzer,New Brunswick,6.9,6.9
162.,Cottenoir/Martel,Quebec,6.9,6.9
163.,Kreviazuk/Mathers,Ontario,6.6,6.6
164.,Sobering/Sobering,Colorado,6.5,6.5
165.,Thunman/Granbom,Sweden,6.2,6.2
166.,Just/Cherpin,Saskatchewan,6.1,6.1
167.,Hartwell/Borkovic,Alberta,6.1,6.1
168.,Pifer/Pifer,North Carolina,6.0,6.0
169.,Neron/Ferland,Quebec,6.0,6.0
170.,Ha/Kim,Korea,6.0,6.0
171.,Hollands/Grabow,North Dakota,6.0,6.0
172.,Lee/Cho,Korea,6.0,6.0
173.,Chen/Chen,Ontario,6.0,6.0
174.,Ratte/Ratte,Quebec,6.0,6.0
175.,Hussain/Husain,Guyana,5.9,5.9
176.,Cihlarova/Macek,Czechia,5.9,5.9
177.,Ingram/Tenetuik,Saskatchewan,5.8,5.8
178.,Wood/Betts,Colorado,5.5,5.5
179.,MacNutt/Abraham,Nova Scotia,5.5,5.5
180.,McKenzie/Dunlop,Manitoba,5.5,5.5
181.,Pekowitz/Strack,Minnesota,5.4,5.4
182.,Beaulieu/Pelletier,Quebec,5.4,5.4
183.,Augustin/Karg,Austria,5.4,5.4
184.,Thurston/Lannoye,Wisconsin,5.3,5.3
185.,Kononenko/Shchur,Ukraine,5.3,5.3
186.,Dubberstein/Malvar,Philippines,5.1,5.1
187.,Harris/Chester,British Columbia,5.1,5.1
188.,Bookhout/Wiza,Wisconsin,5.0,5.0
189.,Turbow/Kot,Colorado,5.0,5.0
190.,Wood/Snow,Saskatchewan,5.0,5.0
191.,Billo/Martin,Quebec,4.8,4.8
192.,Stopera/Guentzel,Minnesota,4.8,4.8
193.,Scheel/McMullin,North Dakota,4.7,4.7
194.,Hung/Yan,Hong Kong,4.5,4.5
195.,Hafeli/Kopytko,British Columbia,4.4,4.4
196.,Tanaka/Sato,Japan,4.4,4.4
197.,Kenney/Scimia,Connecticut,4.4,4.4
198.,Wheatcroft/Naugler,Alberta,4.3,4.3
199.,Wong/Duncan-Wu,British Columbia,4.2,4.2
200.,Stewart/Axelsson,Illinois,4.2,4.2
