Rank,Team,Location,YTD,TOTAL
1.,Thiesse/Dropkin,Minnesota,282.6,282.6
2.,Wrana/Wrana,Sweden,261.9,261.9
3.,Dodds/Mouat,Great Britain,195.4,195.4
4.,Gill/Hewitt,Australia,190.7,190.7
5.,Skaslien/Nedregotten,Norway,179.1,179.1
6.,Kim/Jeong,Korea,176.6,176.6
7.,Ye/Yu,China,150.1,150.1
8.,Koana/Aoki,Japan,145.6,145.6
9.,Constantini/Mosaner,Italy,143.1,143.1
10.,Westman/Ahlberg,Sweden,137.5,137.5
11.,Zelingrova/Chabicovsky,Czechia,136.4,136.4
12.,Ford/Campbell,Ontario,128.6,128.6
13.,Perret/Rios,Switzerland,100.5,100.5
14.,Schwaller/Schwaller,Switzerland,95.0,95.0
15.,Peterman/Gallant,Alberta,91.1,91.1
16.,Neil/McDonald,Ontario,87.4,87.4
17.,Craig/Craig,Ontario,86.9,86.9
18.,Kaldvee/Lill,Estonia,84.4,84.4
19.,Matsumura/Tanida,Japan,84.0,84.0
20.,Mallett/Jackson,Ontario,81.9,81.9
21.,Brunton/Forget,Ontario,81.5,81.5
22.,Sanscartier/Caron,Quebec,81.5,81.5
23.,Weeks/Steep,Ontario,79.2,79.2
24.,Gionest/Desjardins,Quebec,77.8,77.8
25.,Fenson/Stopera,Minnesota,71.8,71.8
26.,Kjaerland/Braenden,Norway,70.7,70.7
27.,Adams/Robichaud,New Brunswick,70.3,70.3
28.,Smith/Niepage,Ontario,68.7,68.7
29.,Zhang/Wang,China,64.5,64.5
30.,Walczak/Augustyniak,Poland,61.1,61.1
31.,Nathan/Nathan,Ontario,60.7,60.7
32.,Cave/King,Ontario,60.6,60.6
33.,Schoell/Sutor,Germany,57.8,57.8
34.,Martin/Laycock,Saskatchewan,56.9,56.9
35.,Tremblay/Lanoue,Quebec,55.4,55.4
36.,Gray-Withers/Pietrangelo,Alberta,54.9,54.9
37.,Maheux/Maheux,Quebec,54.5,54.5
38.,Wilson/Dow,Ontario,54.5,54.5
39.,Spruit/Spruit,Ontario,52.9,52.9
40.,Jones/Laing,Ontario,51.9,51.9
41.,Engler/Wunderlin,Switzerland,48.7,48.7
42.,Senneker/Visnich,Michigan,47.6,47.6
43.,Wasylkiw/Konings,Ontario,45.7,45.7
44.,Gaidule/Buncis,Latvia,45.6,45.6
45.,Kim/Yoo,Korea,44.0,44.0
46.,Forster/Forster,Ontario,42.1,42.1
47.,Watson/Beland,New Brunswick,41.6,41.6
48.,Roenning/Buraas,Denmark,41.5,41.5
49.,Woo/Wenzek,British Columbia,39.2,39.2
50.,Barbarin/Coulot,France,39.1,39.1
51.,Feldkamp/Villard,Ontario,38.7,38.7
52.,Immonen/Sipila,Finland,37.8,37.8
53.,Bouchard/Charest,Quebec,37.7,37.7
54.,Cinnamon/Tao,Alberta,36.8,36.8
55.,Kawleski/Kauffman,North Dakota,36.3,36.3
56.,Lee/Kim,Korea,36.0,36.0
57.,Abbes/Harsch,Germany,35.4,35.4
58.,Cheal/Cheal,Quebec,34.3,34.3
59.,Moores/Wheeler,Colorado,33.3,33.3
60.,Lott/Lott,Manitoba,32.4,32.4
61.,Kim/Jeong,Korea,32.0,32.0
62.,Fleming/Bestland,Minnesota,30.4,30.4
63.,Cottenoir/Martel,Quebec,29.8,29.8
64.,Sengul/Cakir,Turkiye,29.4,29.4
65.,Walker/Muyres,Alberta,27.3,27.3
66.,Blackburn/Fortin,Quebec,27.1,27.1
67.,Tiuliakova/Totzek,Germany,26.9,26.9
68.,Marchand/Charbonneau,Quebec,26.9,26.9
69.,Ford/Krowchuk,Ontario,26.6,26.6
70.,Bailey/Sipura,Ontario,26.6,26.6
71.,Butler/Butler,Ontario,26.4,26.4
72.,Hagenbuch/Laufer,Illinois,26.0,26.0
73.,Ouellet/Rousseau,Quebec,25.6,25.6
74.,Udvardi-Palancsa/Tatar,Hungary,25.3,25.3
75.,Remeshylo/Derksen,Saskatchewan,24.8,24.8
76.,Shim/Park,Korea,24.0,24.0
77.,Kim/Kim,Korea,24.0,24.0
78.,Park/Kim,Korea,24.0,24.0
79.,Kim/Lee,Korea,24.0,24.0
80.,Coleman/Robertson,California,23.9,23.9
81.,Burghout/Thompson,Ontario,23.7,23.7
82.,Campbell/Carr,New Brunswick,22.3,22.3
83.,Kiemele/Singer,Ontario,21.8,21.8
84.,McMillan/Bryce,Scotland,21.8,21.8
85.,Leong/Munroe,Alberta,21.2,21.2
86.,Munroe/Leong,Alberta,21.2,21.2
87.,Burgess/Morin,Alberta,21.1,21.1
88.,Wynter/Sallaj,New Brunswick,20.8,20.8
89.,Cull/Garand,Quebec,20.4,20.4
90.,Papley/Van Amsterdam,Alberta,20.4,20.4
91.,Weldon/Franey,Colorado,20.3,20.3
92.,Neary/Hancock,Newfoundland / Labrador,20.3,20.3
93.,Ryhorchuk/Peterson,Alberta,20.1,20.1
94.,Ostrowski/Nickel,Minnesota,20.1,20.1
95.,Ueno/Yamaguchi,Japan,20.0,20.0
96.,Holtermann/Holtermann,Denmark,19.3,19.3
97.,Gagne/Morissette,Quebec,19.2,19.2
98.,Lamontagne/LaMontagne,Saskatchewan,18.9,18.9
99.,Hueppi/Weiss,Switzerland,18.9,18.9
100.,Dudt/Dudt,Pennsylvania,18.8,18.8
101.,Bomas/Gosgens,Netherlands,18.4,18.4
102.,Tonoli/Hoekman,Netherlands,18.3,18.3
103.,Tanguay/Charbonneau,Quebec,18.0,18.0
104.,Lee/Kim,Korea,18.0,18.0
105.,Johnston/Johnston,New Brunswick,18.0,18.0
106.,Loken/Tanaka,British Columbia,17.9,17.9
107.,Podoll/Parry,North Dakota,17.9,17.9
108.,Springer/Springer,Saskatchewan,17.2,17.2
109.,Richards/Davies,Alberta,17.1,17.1
110.,Otaegi/Unanue,Spain,16.5,16.5
111.,Klimova/Klima,Czechia,16.2,16.2
112.,Davie/Watt,Scotland,16.0,16.0
113.,Scebbi/Scebbi,Ohio,15.7,15.7
114.,Jensen/Meister,British Columbia,15.4,15.4
115.,Meister/Jensen,British Columbia,15.4,15.4
116.,Holt/Brenden,North Dakota,15.3,15.3
117.,Blackburn/Fortin,Quebec,15.2,15.2
118.,Kim/Seong,Korea,15.0,15.0
119.,Matulova/Moravcik,Slovakia,14.7,14.7
120.,Tracy/Riggs,New Brunswick,14.3,14.3
121.,Robertson/Robertson,Ontario,14.1,14.1
122.,Trembath/Grassie,Manitoba,14.0,14.0
123.,Grassie/Trembath,Manitoba,14.0,14.0
124.,Kraft/Kraft,North Dakota,13.4,13.4
125.,Hopson/Tippett,Ontario,13.1,13.1
126.,Fellmann/Kovalchuk,Quebec,12.4,12.4
127.,Roach/Gilbert,Ontario,12.4,12.4
128.,Yang/Lee,Korea,12.0,12.0
129.,Morissette/Hudon,Quebec,12.0,12.0
130.,Park/Jeon,Korea,12.0,12.0
131.,Seol/Kim,Korea,12.0,12.0
132.,MacNutt/Abraham,Nova Scotia,11.8,11.8
133.,Yarmuch/Sawiak,Alberta,11.7,11.7
134.,Henwood/Maude,Ontario,11.6,11.6
135.,Westhagen/Panoussi,Australia,11.6,11.6
136.,Hausstatter/Svorkmo-Lundberg,Norway,11.6,11.6
137.,Chao/Fowler,Illinois,11.2,11.2
138.,McGillivray/Cowan,British Columbia,11.1,11.1
139.,Shaw/Garcia Revuelto,Spain,10.9,10.9
140.,Garcia Revuelto/Shaw,Spain,10.9,10.9
141.,Ashton/Gira,Saskatchewan,10.6,10.6
142.,Chou/Liu,Chinese Taipei,10.4,10.4
143.,Headley/Headley,Ontario,10.1,10.1
144.,Serra/Tompkins,Mexico,9.9,9.9
145.,Ideson/Henry,Ontario,9.9,9.9
146.,Shipmaker/Shinde,Ontario,9.8,9.8
147.,Kalk/MacAlpine,Alberta,9.6,9.6
148.,Moore/Purcell,Nova Scotia,9.5,9.5
149.,Lang/Lang,Saskatchewan,9.5,9.5
150.,Millikin/Millikin,Australia,9.5,9.5
151.,Joo/Karasz,Hungary,9.2,9.2
152.,Paquette/Daoust,Northern Ontario,9.0,9.0
153.,Kim/Park,Korea,9.0,9.0
154.,Bang/Kim,Korea,9.0,9.0
155.,Kang/Lee,Korea,9.0,9.0
156.,Hwang/Park,Korea,9.0,9.0
157.,Kim/Park,Korea,9.0,9.0
158.,Forsythe/Stewart,New Brunswick,8.9,8.9
159.,Nilsson/Olofsson,Sweden,8.7,8.7
160.,Rozon/Champ,Ontario,8.6,8.6
161.,Mayra/Kirby,Michigan,8.5,8.5
162.,Johns/Johns,Australia,8.4,8.4
163.,Stevens/Weagle,Nova Scotia,8.2,8.2
164.,Fortin/Descoteaux,Quebec,8.1,8.1
165.,Klimova/Klima,Czechia,8.1,8.1
166.,Rykove/Rykov,Lithuania,8.0,8.0
167.,Bowman/Bowman,Northern Ontario,7.9,7.9
168.,Just/Cherpin,Saskatchewan,7.6,7.6
169.,Wheatcroft/Naugler,Alberta,7.4,7.4
170.,Arbuckle/Macdonell,Manitoba,7.4,7.4
171.,Mackenzie/Middleton,British Columbia,7.2,7.2
172.,Hartwell/Borkovic,Alberta,7.1,7.1
173.,Pohlod/Fenton,British Columbia,7.1,7.1
174.,Comeau/Smeltzer,New Brunswick,6.9,6.9
175.,Kreviazuk/Mathers,Ontario,6.6,6.6
176.,Sobering/Sobering,Colorado,6.5,6.5
177.,Thunman/Granbom,Sweden,6.2,6.2
178.,Wendling/Paral,Wisconsin,6.0,6.0
179.,Hollands/Grabow,North Dakota,6.0,6.0
180.,Neron/Ferland,Quebec,6.0,6.0
181.,Ha/Kim,Korea,6.0,6.0
182.,Pifer/Pifer,North Carolina,6.0,6.0
183.,Lee/Cho,Korea,6.0,6.0
184.,Chen/Chen,Ontario,6.0,6.0
185.,Ratte/Ratte,Quebec,6.0,6.0
186.,Hussain/Husain,Guyana,5.9,5.9
187.,Cihlarova/Macek,Czechia,5.9,5.9
188.,Ingram/Tenetuik,Saskatchewan,5.8,5.8
189.,Wood/Betts,Colorado,5.5,5.5
190.,McKenzie/Dunlop,Manitoba,5.5,5.5
191.,Pekowitz/Strack,Minnesota,5.4,5.4
192.,Beaulieu/Pelletier,Quebec,5.4,5.4
193.,Augustin/Karg,Austria,5.4,5.4
194.,Kononenko/Shchur,Ukraine,5.3,5.3
195.,Thurston/Lannoye,Wisconsin,5.3,5.3
196.,Harris/Chester,British Columbia,5.1,5.1
197.,Dubberstein/Malvar,Philippines,5.1,5.1
198.,Damen/Van Amsterdam,Alberta,5.1,5.1
199.,Turbow/Kot,Colorado,5.0,5.0
200.,Bookhout/Wiza,Wisconsin,5.0,5.0
201.,Masse/Doston,Quebec,5.0,5.0
202.,Wood/Snow,Saskatchewan,5.0,5.0
203.,Billo/Martin,Quebec,4.8,4.8
204.,Stopera/Guentzel,Minnesota,4.8,4.8
205.,Scheel/McMullin,North Dakota,4.7,4.7
206.,Hung/Yan,Hong Kong,4.5,4.5
207.,Fitzgerald/McPherson,Nova Scotia,4.4,4.4
208.,Tanaka/Sato,Japan,4.4,4.4
209.,Hafeli/Kopytko,British Columbia,4.4,4.4
210.,Kenney/Scimia,Connecticut,4.4,4.4
211.,Deschene/Deschene,Northern Ontario,4.3,4.3
212.,Wong/Duncan-Wu,British Columbia,4.2,4.2
213.,Stewart/Axelsson,Illinois,4.2,4.2
214.,Nedohin/Nedohin,Alberta,4.1,4.1
215.,Farwell/Grabow,Colorado,4.1,4.1
216.,Rugg/Gamble,Saskatchewan,4.0,4.0
217.,Burgess/Burgess,New Brunswick,3.9,3.9
218.,Sherry/Sherry,Illinois,3.9,3.9
219.,Powers/Saunders,Nova Scotia,3.9,3.9
220.,Scalesse/Pimpini,Italy,3.9,3.9
221.,Hackett/Hackett,Alabama,3.8,3.8
222.,Workin/Workin,North Dakota,3.8,3.8
223.,Matsuda/Matsuda,Japan,3.6,3.6
224.,Stella/Carle,Colorado,3.6,3.6
225.,Cummings/Hoffard,British Columbia,3.5,3.5
226.,Moriarty/Dexter,Nova Scotia,3.5,3.5
227.,Heggestad/Heggestad,Ontario,3.5,3.5
228.,Paulova/Paul,Czechia,3.5,3.5
229.,Hoag/Gordon,Saskatchewan,3.3,3.3
230.,Gourianova/Vidaurrazaga,Massachusetts,3.3,3.3
231.,Funaki/Kamada,Japan,3.2,3.2
232.,Barron/Paradis,Ireland,3.2,3.2
233.,Roy/Roy,Quebec,3.2,3.2
234.,Patel/Raju,India,3.2,3.2
235.,Robins/Francey,Australia,3.2,3.2
236.,Gallagher/Gagnon,Australia,3.2,3.2
237.,Kim/Kwon,Korea,3.0,3.0
238.,Kim/Park,Korea,3.0,3.0
239.,Devaux/Devaux,Switzerland,3.0,3.0
