Rank,Team,Location,YTD,TOTAL
1.,Gill/Hewitt,Australia,135.8,212.0
2.,Skaslien/Nedregotten,Norway,112.9,178.3
3.,Koana/Aoki,Japan,102.9,154.8
4.,Kaldvee/Lill,Estonia,60.5,152.4
5.,Thiesse/Dropkin,Minnesota,88.0,135.8
6.,Perret/Rios,Switzerland,89.0,126.8
7.,Westman/Ahlberg,Sweden,97.9,118.0
8.,Dodds/Mouat,Great Britain,41.3,114.5
9.,Kim/Jeong,Korea,110.9,110.9
10.,Matsumura/Tanida,Japan,60.3,108.8
11.,Ye/Yu,China,97.0,97.0
12.,Craig/Craig,Ontario,53.8,96.3
13.,Ford/Campbell,Ontario,70.6,95.9
14.,Neil/McDonald,Ontario,65.9,90.9
15.,Martin/Laycock,Saskatchewan,37.8,84.4
16.,Adams/Robichaud,New Brunswick,48.8,84.3
17.,Jones/Laing,Ontario,37.0,83.5
18.,Kjaerland/Braenden,Norway,61.7,82.2
19.,Anderson/Stopera,Minnesota,44.3,75.5
20.,Weeks/Steep,Ontario,53.2,74.4
21.,Walczak/Augustyniak,Poland,46.7,72.5
22.,Abbes/Harsch,Germany,35.4,67.2
23.,Gionest/Desjardins,Quebec,37.8,65.9
24.,Zelingrova/Chabicovsky,Czechia,40.6,65.4
25.,Zhang/Wang,China,52.5,64.4
26.,Peterman/Gallant,Alberta,0.0,64.2
27.,Gray-Withers/Pietrangelo,Alberta,44.4,63.7
28.,Wasylkiw/Konings,Ontario,24.6,61.8
29.,Schoell/Sutor,Germany,45.6,56.6
30.,Smith/Niepage,Ontario,44.0,55.8
31.,Tremblay/Lanoue,Quebec,31.5,55.7
32.,Walker/Muyres,Alberta,5.4,55.4
33.,Engler/Wunderlin,Switzerland,23.1,54.5
34.,Spruit/Spruit,Ontario,37.3,54.5
35.,Brunton/Forget,Ontario,33.1,52.1
36.,Lott/Lott,Manitoba,0.0,50.4
37.,Immonen/Sipila,Finland,31.1,49.6
38.,Maheux/Maheux,Quebec,37.4,49.5
39.,Bouchard/Charest,Quebec,27.7,47.9
40.,Kim/Yoo,Korea,44.0,44.0
41.,Kim/Seong,Korea,15.0,42.9
42.,Schwaller/Schwaller,Switzerland,32.6,41.9
43.,Powers/Saunders,Nova Scotia,3.9,40.9
44.,Tiuliakova/Totzek,Germany,26.9,39.3
45.,Nathan/Nathan,Ontario,28.6,39.2
46.,Woo/Wenzek,British Columbia,27.4,38.8
47.,Gagne/Morissette,Quebec,15.1,36.3
48.,Lee/Kim,Korea,36.0,36.0
49.,Cave/King,Ontario,35.7,35.7
50.,Sanscartier/Caron,Quebec,27.0,35.6
51.,Kim/Jeong,Korea,32.0,32.0
52.,Wrana/Wrana,Sweden,8.7,31.5
53.,McMillan/Bryce,Scotland,21.8,31.1
54.,Gaidule/Buncis,Latvia,20.3,30.8
55.,Butler/Butler,Ontario,24.0,29.7
56.,Springer/Springer,Saskatchewan,15.0,29.4
57.,Papley/Van Amsterdam,Alberta,8.5,28.2
58.,Moores/Wheeler,Colorado,14.3,27.8
59.,Otaegi/Unanue,Spain,13.8,26.8
60.,Mallett/Jackson,Ontario,21.5,26.3
61.,Davie/Watt,Scotland,16.0,25.3
62.,Holtermann/Holtermann,Denmark,6.2,24.6
63.,Fellmann/Kovalchuk,Quebec,11.7,24.5
64.,Ford/Krowchuk,Ontario,16.0,24.5
65.,Marchand/Charbonneau,Quebec,22.8,24.3
66.,Shim/Park,Korea,24.0,24.0
67.,Kim/Kim,Korea,24.0,24.0
68.,Kim/Lee,Korea,24.0,24.0
69.,Park/Kim,Korea,24.0,24.0
70.,Cinnamon/Tao,Alberta,15.8,23.7
71.,Weldon/Franey,Colorado,14.8,23.5
72.,Arbuckle/Macdonell,Manitoba,7.4,22.5
73.,Senneker/Visnich,Michigan,18.4,22.5
74.,Burghout/Thompson,Ontario,13.2,22.3
75.,Ueno/Yamaguchi,Japan,20.0,22.1
76.,Roach/Gilbert,Ontario,12.4,21.9
77.,Ryhorchuk/Peterson,Alberta,20.1,21.8
78.,Wynter/Sallaj,New Brunswick,17.9,21.6
79.,Coleman/Robertson,California,19.7,20.5
80.,Mackenzie/Middleton,British Columbia,7.2,20.0
81.,Watson/Beland,New Brunswick,19.8,19.8
82.,Paulova/Paul,Czechia,3.5,19.4
83.,Johnston/Johnston,New Brunswick,17.1,19.1
84.,Bailey/Sipura,Ontario,6.8,19.0
85.,Podoll/Parry,North Dakota,13.6,18.1
86.,Richards/Davies,Alberta,17.1,18.1
87.,Wilson/Dow,Ontario,14.9,18.1
88.,Lee/Kim,Korea,18.0,18.0
89.,Neary/Hancock,Newfoundland / Labrador,14.8,17.8
90.,Hagenbuch/Laufer,Illinois,14.6,17.2
91.,Dudt/Dudt,Pennsylvania,14.6,17.1
92.,Tanguay/Charbonneau,Quebec,15.1,16.6
93.,Just/Cherpin,Saskatchewan,3.2,16.4
94.,Grassie/Trembath,Manitoba,14.0,16.4
95.,Trembath/Grassie,Manitoba,14.0,16.4
96.,Ostrowski/Nickel,Minnesota,13.9,16.3
97.,Klimova/Klima,Czechia,16.2,16.2
98.,Ouellet/Rousseau,Quebec,8.4,16.1
99.,Sengul/Cakir,Turkiye,9.4,15.9
100.,McGillivray/Cowan,British Columbia,11.1,15.1
101.,Tracy/Riggs,New Brunswick,14.3,15.0
102.,Robertson/Robertson,Ontario,11.7,14.7
103.,Holt/Brenden,North Dakota,11.0,14.7
104.,Kiemele/Singer,Ontario,8.4,14.7
105.,Kraft/Kraft,North Dakota,12.0,14.6
106.,Cheal/Cheal,Quebec,9.1,14.5
107.,Barbarin/Coulot,France,14.3,14.3
108.,Yarmuch/Sawiak,Alberta,11.7,13.9
