Rank,Team,Location,YTD,TOTAL
1.,Kaldvee/Lill,Estonia,229.8,229.8
2.,Gill/Hewitt,Australia,190.5,190.5
3.,Dodds/Mouat,Great Britain,183.2,183.2
4.,Skaslien/Nedregotten,Norway,163.5,163.5
5.,Peterman/Gallant,Alberta,160.5,160.5
6.,Koana/Aoki,Japan,129.6,129.6
7.,Lott/Lott,Manitoba,126.0,126.0
8.,Walker/Muyres,Alberta,125.0,125.0
9.,Matsumura/Tanida,Japan,121.4,121.4
10.,Thiesse/Dropkin,Minnesota,119.6,119.6
11.,Martin/Laycock,Saskatchewan,116.4,116.4
12.,Jones/Laing,Ontario,116.3,116.3
13.,Homan/Bottcher,Alberta,115.1,115.1
14.,Paetz/Michel,Switzerland,106.7,106.7
15.,Sandham/Craig,Ontario,106.3,106.3
16.,Perret/Rios,Switzerland,94.5,94.5
17.,Wasylkiw/Konings,Ontario,93.0,93.0
18.,Powers/Saunders,Nova Scotia,92.5,92.5
19.,Roenning/Braenden,Norway,90.6,90.6
20.,Adams/Robichaud,New Brunswick,88.8,88.8
21.,Weagle/Epping,Ontario,88.3,88.3
22.,Zheng/Pietrangelo,Ontario,86.0,86.0
23.,Jackson/McFadzean,Great Britain,79.8,79.8
24.,Abbes/Harsch,Germany,79.5,79.5
25.,Engler/Wunderlin,Switzerland,78.5,78.5
26.,Anderson/Stopera,Minnesota,78.0,78.0
27.,Tran/Kleiter,Alberta,75.8,75.8
28.,Hasselborg/Eriksson,Sweden,72.0,72.0
29.,Gionest/Desjardins,Quebec,70.3,70.3
30.,Kim/Seong,Korea,69.6,69.6
31.,Morrison/Lammie,Great Britain,69.1,69.1
32.,Brunton/Horgan,Ontario,66.9,66.9
33.,Walczak/Augustyniak,Poland,64.5,64.5
34.,Ford/Campbell,Ontario,63.3,63.3
35.,Neil/McDonald,Ontario,62.6,62.6
36.,Zelingrova/Chabicovsky,Czechia,62.1,62.1
37.,Bear/Oldenburg,Minnesota,62.0,62.0
38.,Tremblay/Lanoue,Quebec,60.4,60.4
39.,Han/Wang,China,59.6,59.6
40.,Smith/Thomson,Ontario,58.9,58.9
41.,Sluchinski/Sluchinski,Alberta,57.0,57.0
42.,Wrana/Wrana,Sweden,57.0,57.0
43.,Cotter/Cotter,British Columbia,56.6,56.6
44.,Armstrong/Griffith,British Columbia,56.5,56.5
45.,Gagne/Morissette,Quebec,53.0,53.0
46.,Weeks/Steep,Ontario,52.9,52.9
47.,Bouchard/Charest,Quebec,50.4,50.4
48.,Westman/Ahlberg,Sweden,50.3,50.3
49.,Anderson-Heide/Richardson,Minnesota,49.8,49.8
50.,Papley/Van Amsterdam,Alberta,49.4,49.4
51.,Immonen/Sipila,Finland,46.1,46.1
52.,Holterman/Holtermann,Denmark,45.9,45.9
53.,Constantini/Zisa,Italy,45.5,45.5
54.,Riley/Mullen,Quebec,43.1,43.1
55.,Spruit/Spruit,Ontario,43.0,43.0
56.,Sinclair/Brydone,Scotland,41.3,41.3
57.,Paulova/Paul,Czechia,39.8,39.8
58.,Daly/Violette,Minnesota,38.4,38.4
59.,Smith/Smith,New Zealand,38.4,38.4
