Rank,Team,Location,YTD,TOTAL
1.,Skaslien/Nedregotten,Norway,981.0,981.0
2.,Peterman/Gallant,Alberta,963.0,963.0
3.,Koana/Aoki,Japan,777.8,777.8
4.,Lott/Lott,Manitoba,756.0,756.0
5.,Walker/Muyres,Alberta,750.0,750.0
6.,Matsumura/Tanida,Japan,728.3,728.3
7.,Thiesse/Dropkin,Minnesota,717.8,717.8
8.,Martin/Laycock,Saskatchewan,698.3,698.3
9.,Jones/Laing,Ontario,697.5,697.5
10.,Homan/Bottcher,Alberta,690.6,690.6
11.,Craig/Craig,Ontario,637.5,637.5
12.,Perret/Rios,Switzerland,567.0,567.0
13.,Wasylkiw/Konings,Ontario,558.0,558.0
14.,Powers/Saunders,Nova Scotia,555.0,555.0
15.,Adams/Robichaud,New Brunswick,532.5,532.5
16.,Abbes/Harsch,Germany,477.0,477.0
17.,Engler/Wunderlin,Switzerland,471.0,471.0
18.,Fenson/Stopera,Minnesota,468.0,468.0
19.,Gionest/Desjardins,Quebec,421.5,421.5
20.,Kim/Seong,Korea,417.8,417.8
21.,Walczak/Augustyniak,Poland,387.0,387.0
22.,Ford/Campbell,Ontario,379.5,379.5
23.,Neil/McDonald,Ontario,375.8,375.8
24.,Zelingrova/Chabicovsky,Czechia,372.8,372.8
25.,Tremblay/Lanoue,Quebec,362.3,362.3
26.,Wrana/Wrana,Sweden,342.0,342.0
27.,Gagne/Morissette,Quebec,318.0,318.0
28.,Weeks/Steep,Ontario,317.6,317.6
29.,Kjaerland/Braenden,Norway,307.3,307.3
30.,Bouchard/Charest,Quebec,302.3,302.3
31.,Westman/Ahlberg,Sweden,301.5,301.5
32.,Papley/Van Amsterdam,Alberta,296.6,296.6
33.,Gray-Withers/Pietrangelo,Alberta,288.8,288.8
34.,Brunton/Forget,Ontario,285.0,285.0
35.,Immonen/Sipila,Finland,276.8,276.8
36.,Holtermann/Holtermann,Denmark,275.6,275.6
37.,Roenning/Buraas,Denmark,272.7,272.7
38.,Constantini/Mosaner,Italy,260.3,260.3
39.,Spruit/Spruit,Ontario,258.0,258.0
40.,Paulova/Paul,Czechia,238.9,238.9
41.,Arbuckle/Macdonell,Manitoba,227.3,227.3
42.,Springer/Springer,Saskatchewan,216.0,216.0
43.,Moores/Wheeler,Colorado,202.1,202.1
44.,Just/Cherpin,Saskatchewan,197.3,197.3
45.,Otaegi/Unanue,Spain,193.9,193.9
46.,Mackenzie/Middleton,British Columbia,192.4,192.4
47.,Fellmann/Kovalchuk,Quebec,192.0,192.0
48.,Laplante/Gibeau,Quebec,188.6,188.6
49.,Tiuliakova/Totzek,Germany,186.0,186.0
50.,Bailey/Sipura,Ontario,182.6,182.6
51.,Maheux/Maheux,Quebec,181.5,181.5
52.,Wiseman/Smith,Newfoundland / Labrador,180.0,180.0
53.,Zhang/Wang,China,178.9,178.9
54.,Smith/Niepage,Ontario,176.6,176.6
55.,Woo/Wenzek,British Columbia,171.0,171.0
56.,Parmiter/Burgess,New Brunswick,168.8,168.8
57.,Schoell/Sutor,Germany,165.9,165.9
58.,Nathan/Nathan,Ontario,159.0,159.0
59.,Gaidule/Buncis,Latvia,157.5,157.5
60.,Roach/Gilbert,Ontario,142.9,142.9
61.,Davie/Watt,Scotland,140.3,140.3
62.,McMillan/Bryce,Scotland,140.3,140.3
63.,Schwaller/Schwaller,Switzerland,139.5,139.5
64.,Burghout/Thompson,Ontario,137.3,137.3
65.,Weldon/Franey,Colorado,130.5,130.5
66.,Harris/Chester,British Columbia,129.4,129.4
67.,Sanscartier/Caron,Quebec,129.0,129.0
68.,Ford/Krowchuk,Ontario,127.1,127.1
69.,Cinnamon/Tao,Alberta,117.4,117.4
70.,Ouellet/Rousseau,Quebec,115.5,115.5
71.,Schmidt/Schmidt,Denmark,106.5,106.5
72.,Sengul/Cakir,Turkiye,98.4,98.4
73.,Cottenoir/Martel,Quebec,97.9,97.9
74.,Kiemele/Singer,Ontario,93.8,93.8
75.,Scalesse/Pimpini,Italy,90.0,90.0
76.,Heggestad/Heggestad,Ontario,85.9,85.9
77.,Butler/Butler,Ontario,84.4,84.4
78.,Burgess/Burgess,New Brunswick,84.4,84.4
