Rank,Team,Location,YTD,TOTAL
1.,Gill/Hewitt,Australia,175.0,213.1
2.,Skaslien/Nedregotten,Norway,132.5,165.2
3.,Kim/Jeong,Korea,158.7,158.7
4.,Thiesse/Dropkin,Minnesota,124.7,148.6
5.,Koana/Aoki,Japan,119.7,145.7
6.,Ye/Yu,China,131.8,131.8
7.,Westman/Ahlberg,Sweden,116.3,126.4
8.,Zelingrova/Chabicovsky,Czechia,105.8,118.3
9.,Perret/Rios,Switzerland,95.3,114.2
10.,Kaldvee/Lill,Estonia,66.7,112.7
11.,Dodds/Mouat,Great Britain,68.2,104.8
12.,Matsumura/Tanida,Japan,63.7,88.0
13.,Ford/Campbell,Ontario,73.7,86.3
14.,Neil/McDonald,Ontario,73.2,85.7
15.,Craig/Craig,Ontario,63.6,84.8
16.,Weeks/Steep,Ontario,72.7,83.3
17.,Adams/Robichaud,New Brunswick,59.8,77.6
18.,Kjaerland/Braenden,Norway,61.7,71.9
19.,Zhang/Wang,China,62.4,68.4
20.,Martin/Laycock,Saskatchewan,41.9,65.2
21.,Walczak/Augustyniak,Poland,50.9,63.8
22.,Schoell/Sutor,Germany,55.4,60.9
23.,Engler/Wunderlin,Switzerland,45.2,60.9
24.,Peterman/Gallant,Alberta,28.5,60.6
25.,Jones/Laing,Ontario,37.0,60.3
26.,Anderson/Stopera,Minnesota,44.3,59.9
27.,Smith/Niepage,Ontario,51.8,57.7
28.,Gionest/Desjardins,Quebec,41.2,55.3
29.,Gray-Withers/Pietrangelo,Alberta,44.4,54.1
30.,Abbes/Harsch,Germany,35.4,51.3
31.,Spruit/Spruit,Ontario,41.5,50.1
32.,Cave/King,Ontario,50.0,50.0
33.,Maheux/Maheux,Quebec,42.8,48.8
34.,Walker/Muyres,Alberta,21.6,46.6
35.,Lott/Lott,Manitoba,20.9,46.1
36.,Woo/Wenzek,British Columbia,38.4,44.1
37.,Kim/Yoo,Korea,44.0,44.0
38.,Immonen/Sipila,Finland,34.6,43.8
