Rank,Team,Location,YTD,TOTAL
1.,Kaldvee/Lill,Estonia,0.0,229.8
2.,Gill/Hewitt,Australia,15.8,206.3
3.,Skaslien/Nedregotten,Norway,0.0,163.5
4.,Peterman/Gallant,Alberta,0.0,160.5
5.,Koana/Aoki,Japan,0.0,129.6
6.,Lott/Lott,Manitoba,0.0,126.0
7.,Walker/Muyres,Alberta,0.0,125.0
8.,Matsumura/Tanida,Japan,0.0,121.4
9.,Thiesse/Dropkin,Minnesota,0.0,119.6
10.,Martin/Laycock,Saskatchewan,0.0,116.4
11.,Jones/Laing,Ontario,0.0,116.3
12.,Craig/Craig,Ontario,0.0,106.3
13.,Perret/Rios,Switzerland,0.0,94.5
14.,Wasylkiw/Konings,Ontario,0.0,93.0
15.,Powers/Saunders,Nova Scotia,0.0,92.5
16.,Adams/Robichaud,New Brunswick,0.0,88.8
17.,Abbes/Harsch,Germany,0.0,79.5
18.,Anderson/Stopera,Minnesota,0.0,78.0
19.,Gionest/Desjardins,Quebec,0.0,70.3
20.,Kim/Seong,Korea,0.0,69.6
21.,Walczak/Augustyniak,Poland,0.0,64.5
22.,Ford/Campbell,Ontario,0.0,63.3
23.,Neil/McDonald,Ontario,0.0,62.6
24.,Zelingrova/Chabicovsky,Czechia,0.0,62.1
25.,Tremblay/Lanoue,Quebec,0.0,60.4
26.,Gagne/Morissette,Quebec,0.0,53.0
27.,Weeks/Steep,Ontario,0.0,52.9
28.,Kjaerland/Braenden,Norway,0.0,51.2
29.,Bouchard/Charest,Quebec,0.0,50.4
30.,Westman/Ahlberg,Sweden,0.0,50.3
31.,Papley/Van Amsterdam,Alberta,0.0,49.4
32.,Gray-Withers/Pietrangelo,Alberta,0.0,48.1
33.,Brunton/Forget,Ontario,0.0,47.5
34.,Immonen/Sipila,Finland,0.0,46.1
35.,Spruit/Spruit,Ontario,0.0,43.0
36.,Paulova/Paul,Czechia,0.0,39.8
37.,Arbuckle/Macdonell,Manitoba,0.0,37.9
38.,Springer/Springer,Saskatchewan,0.0,36.0
39.,Moores/Wheeler,Colorado,0.0,33.7
40.,Just/Cherpin,Saskatchewan,0.0,32.9
41.,Otaegi/Unanue,Spain,0.0,32.3
42.,Mackenzie/Middleton,British Columbia,0.0,32.1
43.,Fellmann/Kovalchuk,Quebec,0.0,32.0
44.,Laplante/Gibeau,Quebec,0.0,31.4
45.,Tiuliakova/Totzek,Germany,0.0,31.0
46.,Bailey/Sipura,Ontario,0.0,30.4
47.,Maheux/Maheux,Quebec,0.0,30.3
48.,Zhang/Wang,China,0.0,29.8
49.,Smith/Niepage,Ontario,0.0,29.4
50.,Woo/Wenzek,British Columbia,0.0,28.5
51.,Parmiter/Burgess,New Brunswick,0.0,28.1
52.,Schoell/Sutor,Germany,0.0,27.7
53.,Nathan/Nathan,Ontario,0.0,26.5
54.,Gaidule/Buncis,Latvia,0.0,26.3
55.,Roach/Gilbert,Ontario,0.0,23.8
56.,Schwaller/Schwaller,Switzerland,0.0,23.3
57.,Burghout/Thompson,Ontario,0.0,22.9
58.,Weldon/Franey,Colorado,0.0,21.8
59.,Harris/Chester,British Columbia,0.0,21.6
60.,Sanscartier/Caron,Quebec,0.0,21.5
61.,Ford/Krowchuk,Ontario,0.0,21.2
62.,Cinnamon/Tao,Alberta,0.0,19.6
63.,Ouellet/Rousseau,Quebec,0.0,19.3
64.,Sengul/Cakir,Turkiye,0.0,16.4
65.,Cottenoir/Martel,Quebec,0.0,16.3
66.,Kiemele/Singer,Ontario,0.0,15.6
67.,Scalesse/Pimpini,Italy,0.0,15.0
68.,Heggestad/Heggestad,Ontario,0.0,14.3
69.,Butler/Butler,Ontario,0.0,14.1
70.,Burgess/Burgess,New Brunswick,0.0,14.1
71.,Mulville/Hale,Ontario,0.0,13.5
72.,Cheal/Cheal,Quebec,0.0,13.5
73.,Tanaka/Sato,Japan,4.4,12.3
74.,Mallett/Jackson,Ontario,0.0,12.2
75.,Raniseth/Crough,Alberta,0.0,11.6
76.,Westhagen/Panoussi,Australia,11.6,11.6
77.,Lang/Lang,Saskatchewan,0.0,11.4
78.,Podoll/Parry,North Dakota,0.0,11.3
79.,Ueno/Yamaguchi,Japan,6.0,11.3
80.,White/White,Prince Edward Island,0.0,11.3
81.,Kreviazuk/Mathers,Ontario,0.0,10.6
82.,Kaare/Padama,Estonia,0.0,10.5
83.,Senneker/Visnich,Michigan,0.0,10.2
84.,McGillivray/Cowan,British Columbia,0.0,10.1
85.,Beaulieu/Pelletier,Quebec,0.0,10.1
86.,Scebbi/Scebbi,Ohio,0.0,10.1
87.,Lamontagne/LaMontagne,Saskatchewan,0.0,9.8
88.,Cihlarova/Macek,Czechia,0.0,9.6
89.,Millikin/Millikin,Australia,9.5,9.5
90.,Wendling/Paral,Wisconsin,0.0,9.4
91.,Holt/Brenden,North Dakota,0.0,9.4
92.,Wynter/Sallaj,New Brunswick,0.0,9.3
93.,Billo/Martin,Quebec,0.0,9.0
94.,Hussain/Husain,Guyana,0.0,8.8
95.,Johns/Johns,Australia,8.4,8.4
96.,Feldkamp/Villard,Ontario,0.0,7.5
97.,Robertson/Robertson,Ontario,0.0,7.5
98.,Neary/Hancock,Newfoundland / Labrador,0.0,7.5
99.,Kononenko/Shchur,Ukraine,0.0,7.5
100.,Armstrong/Woods,Ontario,0.0,7.5
101.,Kalk/MacAlpine,Alberta,0.0,7.3
102.,Funaki/Kamada,Japan,3.2,7.1
103.,Turbow/Kot,Colorado,0.0,6.8
104.,Paquette/Daoust,Northern Ontario,0.0,6.7
105.,Chou/Liu,Chinese Taipei,0.0,6.6
106.,Kraft/Kraft,North Dakota,0.0,6.4
107.,Hagenbuch/Laufer,Illinois,0.0,6.4
108.,Dudt/Dudt,Pennsylvania,0.0,6.4
109.,Trembath/Grassie,Manitoba,0.0,6.0
110.,Grassie/Trembath,Manitoba,0.0,6.0
111.,Chao/Fowler,Illinois,0.0,6.0
