Rank,Team,Location,YTD,TOTAL
1.,Gill/Hewitt,Australia,110.5,224.8
2.,Kaldvee/Lill,Estonia,50.7,188.5
3.,Skaslien/Nedregotten,Norway,70.2,168.3
4.,Koana/Aoki,Japan,81.7,159.5
5.,Dodds/Mouat,Great Britain,41.3,151.2
6.,Thiesse/Dropkin,Minnesota,59.0,130.7
7.,Matsumura/Tanida,Japan,36.0,108.9
8.,Craig/Craig,Ontario,38.1,101.8
9.,Peterman/Gallant,Alberta,0.0,96.3
10.,Westman/Ahlberg,Sweden,64.8,95.0
11.,Jones/Laing,Ontario,22.0,91.8
12.,Adams/Robichaud,New Brunswick,33.8,87.0
13.,Martin/Laycock,Saskatchewan,16.5,86.3
14.,Perret/Rios,Switzerland,26.8,83.5
15.,Abbes/Harsch,Germany,35.4,83.1
16.,Walker/Muyres,Alberta,4.2,79.2
17.,Ye/Yu,China,77.4,77.4
18.,Anderson/Stopera,Minnesota,29.3,76.1
19.,Lott/Lott,Manitoba,0.0,75.6
20.,Kjaerland/Braenden,Norway,44.1,74.8
21.,Gionest/Desjardins,Quebec,30.8,73.0
22.,Neil/McDonald,Ontario,28.5,66.1
23.,Zelingrova/Chabicovsky,Czechia,27.1,64.4
24.,Wasylkiw/Konings,Ontario,6.9,62.7
25.,Zhang/Wang,China,42.6,60.5
26.,Powers/Saunders,Nova Scotia,3.9,59.4
27.,Kim/Jeong,Korea,56.1,56.1
28.,Tremblay/Lanoue,Quebec,19.6,55.8
29.,Gray-Withers/Pietrangelo,Alberta,26.3,55.2
30.,Schoell/Sutor,Germany,38.1,54.7
31.,Engler/Wunderlin,Switzerland,7.2,54.3
32.,Weeks/Steep,Ontario,20.4,52.2
33.,Bouchard/Charest,Quebec,20.1,50.3
34.,Ford/Campbell,Ontario,12.2,50.2
35.,Smith/Niepage,Ontario,32.4,50.1
36.,Kim/Seong,Korea,7.5,49.3
37.,Gagne/Morissette,Quebec,15.1,46.9
38.,Walczak/Augustyniak,Poland,6.9,45.6
39.,Spruit/Spruit,Ontario,19.3,45.1
40.,Maheux/Maheux,Quebec,26.4,44.5
41.,Immonen/Sipila,Finland,11.9,39.5
42.,Schwaller/Schwaller,Switzerland,23.9,37.9
43.,Brunton/Forget,Ontario,9.1,37.6
44.,Woo/Wenzek,British Columbia,19.9,37.0
45.,Papley/Van Amsterdam,Alberta,7.2,36.9
46.,Nathan/Nathan,Ontario,19.7,35.6
47.,Tiuliakova/Totzek,Germany,14.1,32.7
48.,Otaegi/Unanue,Spain,11.4,30.8
49.,Arbuckle/Macdonell,Manitoba,7.4,30.1
50.,Springer/Springer,Saskatchewan,8.3,29.9
51.,Holtermann/Holtermann,Denmark,2.0,29.6
52.,Moores/Wheeler,Colorado,9.4,29.6
53.,Sanscartier/Caron,Quebec,16.5,29.4
54.,Ford/Krowchuk,Ontario,15.0,27.7
55.,Paulova/Paul,Czechia,3.5,27.3
56.,Mackenzie/Middleton,British Columbia,7.2,26.4
57.,Roach/Gilbert,Ontario,10.3,24.6
58.,Burghout/Thompson,Ontario,10.8,24.5
59.,Mallett/Jackson,Ontario,16.5,23.8
60.,Kim/Yoo,Korea,22.0,22.0
61.,Fellmann/Kovalchuk,Quebec,2.3,21.5
62.,Weldon/Franey,Colorado,8.3,21.3
63.,Just/Cherpin,Saskatchewan,0.8,20.6
64.,Bailey/Sipura,Ontario,1.8,20.1
65.,Neary/Hancock,Newfoundland / Labrador,14.8,19.3
66.,Sengul/Cakir,Turkiye,9.4,19.2
67.,Laplante/Gibeau,Quebec,0.0,18.9
68.,Butler/Butler,Ontario,9.6,18.0
69.,Harris/Chester,British Columbia,5.1,18.0
70.,Lee/Kim,Korea,18.0,18.0
71.,Trembath/Grassie,Manitoba,14.0,17.6
72.,Grassie/Trembath,Manitoba,14.0,17.6
73.,Gaidule/Buncis,Latvia,1.7,17.4
74.,McGillivray/Cowan,British Columbia,11.1,17.1
75.,Parmiter/Burgess,New Brunswick,0.0,16.9
76.,Kim/Jeong,Korea,16.0,16.0
77.,Cottenoir/Martel,Quebec,6.0,15.8
78.,Marchand/Charbonneau,Quebec,13.4,15.5
79.,Ouellet/Rousseau,Quebec,4.0,15.5
80.,Senneker/Visnich,Michigan,8.6,14.7
81.,Wynter/Sallaj,New Brunswick,9.0,14.6
82.,Barbarin/Coulot,France,14.3,14.3
83.,Cinnamon/Tao,Alberta,1.8,13.5
84.,Ostrowski/Nickel,Minnesota,9.9,13.4
85.,Podoll/Parry,North Dakota,6.6,13.4
86.,Cave/King,Ontario,13.2,13.2
87.,Hagenbuch/Laufer,Illinois,9.4,13.2
88.,Kreviazuk/Mathers,Ontario,6.6,13.0
89.,Scalesse/Pimpini,Italy,3.9,12.9
90.,Ryhorchuk/Peterson,Alberta,10.2,12.8
91.,Shim/Park,Korea,12.0,12.0
92.,Kim/Kim,Korea,12.0,12.0
93.,Kim/Lee,Korea,12.0,12.0
94.,Park/Kim,Korea,12.0,12.0
95.,Holt/Brenden,North Dakota,6.3,12.0
96.,Westhagen/Panoussi,Australia,11.6,11.6
97.,Robertson/Robertson,Ontario,6.9,11.4
98.,Tanguay/Charbonneau,Quebec,9.1,11.3
99.,Burgess/Morin,Alberta,10.2,11.3
100.,Blackburn/Fortin,Quebec,10.1,10.6
101.,Dudt/Dudt,Pennsylvania,6.6,10.4
102.,Munroe/Leong,Alberta,7.2,10.3
103.,Leong/Munroe,Alberta,7.2,10.3
104.,Kononenko/Shchur,Ukraine,5.3,9.8
105.,Cheal/Cheal,Quebec,1.6,9.7
106.,Loken/Tanaka,British Columbia,9.6,9.6
