Rank,Team,Location,YTD,TOTAL
1.,Kaldvee/Lill,Estonia,82.8,206.4
2.,Skaslien/Nedregotten,Norway,79.8,193.0
3.,Koana/Aoki,Japan,72.1,156.3
4.,Walker/Muyres,Alberta,55.8,156.0
5.,Gill/Hewitt,Australia,93.8,144.7
6.,Matsumura/Tanida,Japan,53.3,136.2
7.,Weagle/Epping,Ontario,56.8,115.1
8.,Martin/Laycock,Saskatchewan,52.3,111.9
9.,Perret/Rios,Switzerland,48.0,100.0
10.,Sandham/Craig,Ontario,51.3,93.3
11.,Zheng/Pietrangelo,Ontario,48.1,92.2
12.,Roenning/Braenden,Norway,13.9,90.0
13.,Gionest/Desjardins,Quebec,38.8,89.5
14.,Jones/Laing,Ontario,32.2,85.3
15.,Lott/Lott,Manitoba,7.5,82.4
16.,Westman/Ahlberg,Sweden,38.6,81.8
17.,Cotter/Cotter,British Columbia,22.9,79.5
18.,Thiesse/Dropkin,Minnesota,22.5,77.7
19.,Abbes/Harsch,Germany,43.5,76.7
20.,Yang/Tian,China,33.2,75.0
21.,Dodds/Mouat,Great Britain,67.8,75.0
22.,Schwaller/Schwaller,Switzerland,16.5,73.6
23.,Papley/Van Amsterdam,Alberta,19.3,71.0
24.,Powers/Saunders,Nova Scotia,27.0,71.0
25.,Tran/Kleiter,Alberta,39.6,68.5
26.,Anderson/Stopera,Minnesota,31.5,68.0
27.,Wrana/Wrana,Sweden,0.0,66.8
28.,Jackson/McFadzean,Great Britain,44.6,66.2
29.,Reese-Hansen/Chester,British Columbia,15.0,66.1
30.,Wasylkiw/Konings,Ontario,25.0,65.4
31.,Morrison/Lammie,Great Britain,62.5,63.4
32.,Armstrong/Griffith,British Columbia,23.1,62.1
33.,Adams/Robichaud,New Brunswick,23.0,59.2
34.,Paulova/Paul,Czechia,26.1,59.2
35.,Bouchard/Charest,Quebec,24.8,58.3
36.,St-Georges/Asselin,Quebec,0.0,58.3
37.,Zelingrova/Chabicovsky,Czechia,38.3,57.1
38.,Sluchinski/Sluchinski,Alberta,22.5,56.7
39.,Hamilton/Hamilton,Wisconsin,12.8,55.3
40.,Gagne/Morissette,Quebec,12.5,54.7
41.,Walczak/Augustyniak,Poland,25.5,54.3
42.,Kim/Jeong,Korea,0.0,51.8
43.,Han/Wang,China,22.0,47.6
44.,Tremblay/Lanoue,Quebec,15.0,47.4
45.,Anderson-Heide/Richardson,Minnesota,19.0,46.1
46.,Holterman/Holtermann,Denmark,15.6,44.9
47.,Smith/Thomson,Ontario,23.6,44.9
48.,Engler/Wunderlin,Switzerland,16.4,44.8
49.,Cheal/Cheal,Quebec,7.5,43.6
50.,Maheux/Maheux,Quebec,19.8,41.5
51.,Gamble/Kalthoff,Saskatchewan,18.2,41.3
52.,Peterman/Gallant,Alberta,0.0,41.3
53.,Springer/Springer,Saskatchewan,30.5,40.9
54.,Mackenzie/Middleton,British Columbia,18.9,38.7
55.,Otaegi/Unanue,Spain,11.8,38.1
56.,Laplante/Gibeau,Quebec,12.7,37.6
57.,Paetz/Michel,Switzerland,6.2,35.7
58.,Yildiz/Cakir,Turkiye,19.1,35.5
59.,Arbuckle/Macdonell,Manitoba,29.3,35.4
60.,Neil/McDonald,Ontario,18.5,35.1
61.,Moores/Wheeler,Colorado,15.9,35.1
62.,Cottenoir/Martel,Quebec,13.1,34.7
63.,Bear/Oldenburg,Minnesota,21.5,34.4
64.,Sturmay/Kleibrink,Alberta,12.6,34.0
65.,Weeks/Steep,Ontario,15.8,33.5
66.,Homan/Bottcher,Alberta,21.1,32.8
67.,Fellmann/Kovalchuk,Quebec,23.5,32.7
68.,Immonen/Sipila,Finland,8.9,30.6
69.,de Val/Magnusson,Sweden,16.5,29.1
70.,Parmiter/Burgess,New Brunswick,22.5,28.4
71.,Spruit/Spruit,Ontario,12.0,26.9
72.,Kreviazuk/Mathers,Ontario,10.6,26.4
73.,Tiuliakova/Totzek,Germany,17.3,26.1
74.,Woo/Wenzek,British Columbia,19.5,25.9
75.,Henderson/Hardie,Great Britain,19.1,25.7
76.,Kiemele/Singer,Ontario,13.8,25.3
77.,Brunton/Horgan,Ontario,6.0,24.5
78.,Wiseman/Smith,Newfoundland / Labrador,15.0,24.0
79.,Ueno/Yamaguchi,Japan,0.0,23.9
80.,Farrell/Thurston,Minnesota,3.7,23.8
81.,Dong/Fei,China,12.0,22.9
82.,Persinger/Casper,Alaska,3.8,22.4
83.,Geving/Shuster,Minnesota,0.0,21.2
84.,Just/Cherpin,Saskatchewan,11.9,20.6
85.,Raniseth/Crough,Alberta,10.5,20.5
86.,Ouellet/Rousseau,Quebec,11.4,20.0
87.,Kaare/Padama,Estonia,0.0,20.0
88.,Baker/Lott,Manitoba,19.0,19.9
89.,Bailey/Sipura,Ontario,12.3,19.3
90.,Mallett/Jackson,Ontario,8.6,19.2
91.,Barber/Heidt,Saskatchewan,5.3,19.1
92.,Podoll/Parry,North Dakota,7.9,17.3
93.,Roach/Gilbert,Ontario,12.0,17.0
94.,Rhyme/Smith,Minnesota,2.8,16.7
