Rank,Team,Location,YTD,TOTAL
1.,Kaldvee/Lill,Estonia,44.5,228.3
2.,Gill/Hewitt,Australia,72.3,224.7
3.,Dodds/Mouat,Great Britain,41.3,187.8
4.,Skaslien/Nedregotten,Norway,42.1,172.9
5.,Koana/Aoki,Japan,50.6,154.3
6.,Thiesse/Dropkin,Minnesota,46.2,141.9
7.,Peterman/Gallant,Alberta,0.0,128.4
8.,Matsumura/Tanida,Japan,16.8,113.9
9.,Martin/Laycock,Saskatchewan,16.5,109.6
10.,Craig/Craig,Ontario,20.8,105.8
11.,Walker/Muyres,Alberta,4.2,104.2
12.,Jones/Laing,Ontario,9.4,102.4
13.,Lott/Lott,Manitoba,0.0,100.8
14.,Adams/Robichaud,New Brunswick,24.8,95.8
15.,Anderson/Stopera,Minnesota,29.3,91.7
16.,Perret/Rios,Switzerland,11.5,87.1
17.,Abbes/Harsch,Germany,20.1,83.7
18.,Westman/Ahlberg,Sweden,43.2,83.4
19.,Wasylkiw/Konings,Ontario,6.9,81.3
20.,Gionest/Desjardins,Quebec,23.1,79.3
21.,Powers/Saunders,Nova Scotia,3.9,77.9
22.,Neil/McDonald,Ontario,24.6,74.7
23.,Zelingrova/Chabicovsky,Czechia,21.9,71.6
24.,Kjaerland/Braenden,Norway,30.6,71.6
25.,Engler/Wunderlin,Switzerland,7.2,70.0
26.,Tremblay/Lanoue,Quebec,16.6,64.9
27.,Gray-Withers/Pietrangelo,Alberta,26.3,64.8
28.,Kim/Seong,Korea,7.5,63.2
29.,Weeks/Steep,Ontario,19.4,61.8
30.,Bouchard/Charest,Quebec,19.7,60.0
31.,Walczak/Augustyniak,Poland,6.9,58.5
32.,Ye/Yu,China,58.3,58.3
33.,Gagne/Morissette,Quebec,15.1,57.5
34.,Schoell/Sutor,Germany,34.3,56.4
35.,Spruit/Spruit,Ontario,19.3,53.7
36.,Ford/Campbell,Ontario,2.4,53.0
37.,Smith/Niepage,Ontario,28.8,52.4
38.,Zhang/Wang,China,27.3,51.2
39.,Kim/Jeong,Korea,49.5,49.5
40.,Immonen/Sipila,Finland,11.9,48.8
41.,Brunton/Forget,Ontario,9.1,47.1
42.,Papley/Van Amsterdam,Alberta,7.2,46.8
43.,Maheux/Maheux,Quebec,20.4,44.6
44.,Woo/Wenzek,British Columbia,19.9,42.7
45.,Holtermann/Holtermann,Denmark,2.0,38.8
46.,Schwaller/Schwaller,Switzerland,19.8,38.4
47.,Arbuckle/Macdonell,Manitoba,7.4,37.7
48.,Springer/Springer,Saskatchewan,8.3,37.1
49.,Moores/Wheeler,Colorado,9.4,36.3
50.,Otaegi/Unanue,Spain,9.8,35.6
51.,Paulova/Paul,Czechia,3.5,35.3
52.,Nathan/Nathan,Ontario,12.8,34.0
53.,Sanscartier/Caron,Quebec,16.5,33.7
54.,Tiuliakova/Totzek,Germany,8.4,33.2
55.,Mackenzie/Middleton,British Columbia,7.2,32.9
56.,Ford/Krowchuk,Ontario,15.0,32.0
57.,Roach/Gilbert,Ontario,10.3,29.3
58.,Burghout/Thompson,Ontario,10.8,29.1
59.,Fellmann/Kovalchuk,Quebec,2.3,27.9
60.,Just/Cherpin,Saskatchewan,0.8,27.1
61.,Bailey/Sipura,Ontario,1.8,26.2
62.,Weldon/Franey,Colorado,8.3,25.7
63.,Laplante/Gibeau,Quebec,0.0,25.2
64.,Gaidule/Buncis,Latvia,1.7,22.7
65.,Parmiter/Burgess,New Brunswick,0.0,22.5
66.,Harris/Chester,British Columbia,5.1,22.4
67.,Kim/Yoo,Korea,22.0,22.0
68.,Neary/Hancock,Newfoundland / Labrador,13.8,19.8
69.,Mallett/Jackson,Ontario,9.6,19.4
70.,McGillivray/Cowan,British Columbia,11.1,19.2
71.,Butler/Butler,Ontario,7.9,19.1
72.,Cottenoir/Martel,Quebec,6.0,19.1
73.,Sengul/Cakir,Turkiye,5.6,18.7
74.,Ouellet/Rousseau,Quebec,3.2,18.6
75.,Lee/Kim,Korea,18.0,18.0
76.,Cinnamon/Tao,Alberta,1.8,17.5
77.,Senneker/Visnich,Michigan,8.6,16.7
78.,Kim/Jeong,Korea,16.0,16.0
79.,Scalesse/Pimpini,Italy,3.9,15.9
80.,Podoll/Parry,North Dakota,6.6,15.6
81.,Marchand/Charbonneau,Quebec,12.6,15.5
82.,Kreviazuk/Mathers,Ontario,6.6,15.1
83.,Wynter/Sallaj,New Brunswick,7.4,14.8
84.,Ostrowski/Nickel,Minnesota,9.9,14.6
85.,Hagenbuch/Laufer,Illinois,9.4,14.5
86.,Holt/Brenden,North Dakota,6.3,13.8
87.,Ryhorchuk/Peterson,Alberta,10.2,13.7
88.,Cave/King,Ontario,13.2,13.2
89.,Kiemele/Singer,Ontario,0.0,12.5
90.,Cheal/Cheal,Quebec,1.6,12.4
91.,Park/Kim,Korea,12.0,12.0
92.,Kim/Kim,Korea,12.0,12.0
93.,Shim/Park,Korea,12.0,12.0
94.,Kim/Lee,Korea,12.0,12.0
95.,Burgess/Morin,Alberta,10.2,11.7
96.,Dudt/Dudt,Pennsylvania,6.6,11.7
97.,Westhagen/Panoussi,Australia,11.6,11.6
98.,Heggestad/Heggestad,Ontario,0.0,11.5
99.,Munroe/Leong,Alberta,7.2,11.3
100.,Leong/Munroe,Alberta,7.2,11.3
101.,Tanguay/Charbonneau,Quebec,8.3,11.3
102.,Burgess/Burgess,New Brunswick,0.0,11.3
103.,Kononenko/Shchur,Ukraine,5.3,11.3
104.,Raniseth/Crough,Alberta,1.8,11.1
105.,Mulville/Hale,Ontario,0.0,10.8
106.,Tanaka/Sato,Japan,4.4,10.7
107.,Barbarin/Coulot,France,10.5,10.5
108.,Cihlarova/Macek,Czechia,2.8,10.5
109.,Turbow/Kot,Colorado,5.0,10.4
110.,Blackburn/Fortin,Quebec,9.7,10.4
111.,Hausstatter/Svorkmo-Lundberg,Norway,5.4,10.3
112.,Meister/Jensen,British Columbia,6.0,10.2
113.,Jensen/Meister,British Columbia,6.0,10.2
114.,Cull/Garand,Quebec,6.6,10.2
115.,Ueno/Yamaguchi,Japan,6.0,10.2
116.,White/White,Prince Edward Island,0.9,9.9
117.,Scebbi/Scebbi,Ohio,1.7,9.8
118.,Loken/Tanaka,British Columbia,9.6,9.6
119.,Shipmaker/Shinde,Ontario,7.8,9.5
120.,Millikin/Millikin,Australia,9.5,9.5
121.,Fortin/Descoteaux,Quebec,7.4,9.3
122.,Richards/Davies,Alberta,7.2,9.2
123.,Lang/Lang,Saskatchewan,0.0,9.2
124.,Grassie/Trembath,Manitoba,4.2,9.0
125.,Trembath/Grassie,Manitoba,4.2,9.0
126.,Lee/Kim,Korea,9.0,9.0
127.,Billo/Martin,Quebec,1.5,8.7
128.,Lamontagne/LaMontagne,Saskatchewan,0.8,8.6
129.,Kraft/Kraft,North Dakota,3.3,8.4
130.,Johns/Johns,Australia,8.4,8.4
131.,Kaare/Padama,Estonia,0.0,8.4
132.,Klimova/Klima,Czechia,8.1,8.1
133.,Tracy/Riggs,New Brunswick,6.6,8.1
134.,Beaulieu/Pelletier,Quebec,0.0,8.1
135.,Feldkamp/Villard,Ontario,2.0,8.0
136.,Morissette/Hudon,Quebec,6.0,8.0
137.,Rozon/Champ,Ontario,7.8,7.8
138.,Johnston/Johnston,New Brunswick,3.6,7.7
139.,Seol/Kim,Korea,6.0,7.5
140.,Wendling/Paral,Wisconsin,0.0,7.5
141.,Stevens/Weagle,Nova Scotia,7.2,7.2
142.,Hueppi/Weiss,Switzerland,4.2,7.1
143.,Hussain/Husain,Guyana,0.0,7.0
144.,Bomas/Gosgens,Netherlands,2.1,6.9
145.,Wilson/Dow,Ontario,0.0,6.5
146.,Funaki/Kamada,Japan,3.2,6.4
147.,Wheatcroft/Naugler,Alberta,1.8,6.3
148.,Yarmuch/Sawiak,Alberta,1.8,6.3
149.,Paquette/Daoust,Northern Ontario,0.8,6.2
150.,Hartwell/Borkovic,Alberta,6.1,6.1
151.,Robertson/Robertson,Ontario,0.0,6.0
152.,Armstrong/Woods,Ontario,0.0,6.0
153.,Park/Jeon,Korea,6.0,6.0
154.,Neron/Ferland,Quebec,6.0,6.0
