Rank,Team,Location,YTD,TOTAL
1.,Kaldvee/Lill,Estonia,26.9,210.7
2.,Gill/Hewitt,Australia,46.0,198.4
3.,Skaslien/Nedregotten,Norway,25.3,156.1
4.,Thiesse/Dropkin,Minnesota,37.5,133.2
5.,Peterman/Gallant,Alberta,0.0,128.4
6.,Martin/Laycock,Saskatchewan,16.5,109.6
7.,Koana/Aoki,Japan,0.0,103.7
8.,Jones/Laing,Ontario,9.4,102.4
9.,Lott/Lott,Manitoba,0.0,100.8
10.,Walker/Muyres,Alberta,0.0,100.0
11.,Matsumura/Tanida,Japan,0.0,97.1
12.,Craig/Craig,Ontario,11.1,96.1
13.,Adams/Robichaud,New Brunswick,24.8,95.8
14.,Perret/Rios,Switzerland,5.2,80.8
15.,Powers/Saunders,Nova Scotia,3.9,77.9
16.,Abbes/Harsch,Germany,13.8,77.4
17.,Wasylkiw/Konings,Ontario,0.0,74.4
18.,Gionest/Desjardins,Quebec,15.3,71.5
19.,Neil/McDonald,Ontario,19.9,70.0
20.,Zelingrova/Chabicovsky,Czechia,18.7,68.4
21.,Kim/Seong,Korea,7.5,63.2
22.,Anderson/Stopera,Minnesota,0.0,62.4
23.,Weeks/Steep,Ontario,17.5,59.8
24.,Bouchard/Charest,Quebec,19.3,59.6
25.,Westman/Ahlberg,Sweden,18.4,58.6
26.,Tremblay/Lanoue,Quebec,10.3,58.6
27.,Walczak/Augustyniak,Poland,5.2,56.8
28.,Gray-Withers/Pietrangelo,Alberta,18.0,56.5
29.,Kjaerland/Braenden,Norway,13.8,54.8
30.,Ford/Campbell,Ontario,1.0,51.6
31.,Gagne/Morissette,Quebec,8.5,50.9
32.,Kim/Jeong,Korea,49.5,49.5
33.,Zhang/Wang,China,23.7,47.6
34.,Papley/Van Amsterdam,Alberta,7.2,46.8
35.,Maheux/Maheux,Quebec,17.0,41.2
36.,Spruit/Spruit,Ontario,6.6,41.0
37.,Immonen/Sipila,Finland,3.5,40.4
38.,Ye/Yu,China,39.9,39.9
39.,Brunton/Forget,Ontario,0.8,38.8
40.,Moores/Wheeler,Colorado,9.4,36.3
41.,Paulova/Paul,Czechia,3.5,35.3
42.,Arbuckle/Macdonell,Manitoba,2.7,33.0
43.,Mackenzie/Middleton,British Columbia,7.2,32.9
44.,Nathan/Nathan,Ontario,11.1,32.3
45.,Woo/Wenzek,British Columbia,9.4,32.2
46.,Ford/Krowchuk,Ontario,14.3,31.3
47.,Smith/Niepage,Ontario,7.2,30.8
48.,Otaegi/Unanue,Spain,4.8,30.7
49.,Roach/Gilbert,Ontario,10.3,29.3
50.,Springer/Springer,Saskatchewan,0.0,28.8
51.,Fellmann/Kovalchuk,Quebec,2.3,27.9
52.,Just/Cherpin,Saskatchewan,0.0,26.3
53.,Weldon/Franey,Colorado,8.3,25.7
54.,Schoell/Sutor,Germany,3.5,25.6
55.,Bailey/Sipura,Ontario,1.0,25.3
56.,Laplante/Gibeau,Quebec,0.0,25.2
57.,Tiuliakova/Totzek,Germany,0.0,24.8
58.,Schwaller/Schwaller,Switzerland,4.1,22.7
59.,Parmiter/Burgess,New Brunswick,0.0,22.5
60.,Harris/Chester,British Columbia,5.1,22.4
61.,Kim/Yoo,Korea,22.0,22.0
62.,Gaidule/Buncis,Latvia,0.0,21.0
63.,Neary/Hancock,Newfoundland / Labrador,13.8,19.8
64.,Burghout/Thompson,Ontario,1.0,19.3
65.,Cottenoir/Martel,Quebec,6.0,19.1
66.,Lee/Kim,Korea,18.0,18.0
67.,Cinnamon/Tao,Alberta,1.8,17.5
68.,Sanscartier/Caron,Quebec,0.0,17.2
69.,Ouellet/Rousseau,Quebec,1.5,16.9
70.,Sengul/Cakir,Turkiye,3.5,16.6
71.,Kim/Jeong,Korea,16.0,16.0
72.,Podoll/Parry,North Dakota,6.6,15.6
73.,Kreviazuk/Mathers,Ontario,6.6,15.1
74.,Mallett/Jackson,Ontario,5.2,14.9
75.,Hagenbuch/Laufer,Illinois,9.4,14.5
76.,Ryhorchuk/Peterson,Alberta,10.2,13.7
77.,Cave/King,Ontario,13.2,13.2
78.,McGillivray/Cowan,British Columbia,5.1,13.2
79.,Wynter/Sallaj,New Brunswick,5.7,13.1
80.,Kiemele/Singer,Ontario,0.0,12.5
81.,Butler/Butler,Ontario,1.0,12.2
82.,Kim/Lee,Korea,12.0,12.0
83.,Park/Kim,Korea,12.0,12.0
84.,Scalesse/Pimpini,Italy,0.0,12.0
85.,Shim/Park,Korea,12.0,12.0
86.,Kim/Kim,Korea,12.0,12.0
87.,Burgess/Morin,Alberta,10.2,11.7
88.,Dudt/Dudt,Pennsylvania,6.6,11.7
89.,Westhagen/Panoussi,Australia,11.6,11.6
90.,Cheal/Cheal,Quebec,0.8,11.6
91.,Heggestad/Heggestad,Ontario,0.0,11.5
92.,Ostrowski/Nickel,Minnesota,6.6,11.3
93.,Munroe/Leong,Alberta,7.2,11.3
94.,Leong/Munroe,Alberta,7.2,11.3
95.,Tanguay/Charbonneau,Quebec,8.3,11.3
96.,Burgess/Burgess,New Brunswick,0.0,11.3
97.,Raniseth/Crough,Alberta,1.8,11.1
98.,Mulville/Hale,Ontario,0.0,10.8
99.,Tanaka/Sato,Japan,4.4,10.7
100.,Ueno/Yamaguchi,Japan,6.0,10.2
101.,Blackburn/Fortin,Quebec,9.3,9.9
102.,Senneker/Visnich,Michigan,1.7,9.8
103.,Marchand/Charbonneau,Quebec,6.8,9.7
104.,Millikin/Millikin,Australia,9.5,9.5
105.,Richards/Davies,Alberta,7.2,9.2
106.,Holt/Brenden,North Dakota,1.7,9.2
107.,Lang/Lang,Saskatchewan,0.0,9.2
108.,White/White,Prince Edward Island,0.0,9.0
109.,Lee/Kim,Korea,9.0,9.0
110.,Scebbi/Scebbi,Ohio,0.8,8.9
111.,Billo/Martin,Quebec,1.5,8.7
112.,Kraft/Kraft,North Dakota,3.3,8.4
113.,Kaare/Padama,Estonia,0.0,8.4
114.,Johns/Johns,Australia,8.4,8.4
115.,Cihlarova/Macek,Czechia,0.7,8.4
116.,Beaulieu/Pelletier,Quebec,0.0,8.1
117.,Feldkamp/Villard,Ontario,2.0,8.0
118.,Morissette/Hudon,Quebec,6.0,8.0
119.,Rozon/Champ,Ontario,7.8,7.8
120.,Lamontagne/LaMontagne,Saskatchewan,0.0,7.8
121.,Wendling/Paral,Wisconsin,0.0,7.5
122.,Seol/Kim,Korea,6.0,7.5
123.,Stevens/Weagle,Nova Scotia,7.2,7.2
124.,Hussain/Husain,Guyana,0.0,7.0
125.,Funaki/Kamada,Japan,3.2,6.4
126.,Wheatcroft/Naugler,Alberta,1.8,6.3
127.,Yarmuch/Sawiak,Alberta,1.8,6.3
