Rank,Team,Location,YTD,TOTAL
1.,Skaslien/Nedregotten,Norway,981.0,981.0
2.,Peterman/Gallant,Alberta,963.0,963.0
3.,Koana/Aoki,Japan,777.8,777.8
4.,Lott/Lott,Manitoba,756.0,756.0
5.,Walker/Muyres,Alberta,750.0,750.0
6.,Matsumura/Tanida,Japan,728.3,728.3
7.,Thiesse/Dropkin,Minnesota,717.8,717.8
8.,Martin/Laycock,Saskatchewan,698.3,698.3
9.,Jones/Laing,Ontario,697.5,697.5
10.,Craig/Craig,Ontario,637.5,637.5
11.,Perret/Rios,Switzerland,567.0,567.0
12.,Wasylkiw/Konings,Ontario,558.0,558.0
13.,Powers/Saunders,Nova Scotia,555.0,555.0
14.,Adams/Robichaud,New Brunswick,532.5,532.5
15.,Abbes/Harsch,Germany,477.0,477.0
16.,Engler/Wunderlin,Switzerland,471.0,471.0
17.,Fenson/Stopera,Minnesota,468.0,468.0
18.,Gionest/Desjardins,Quebec,421.5,421.5
19.,Kim/Seong,Korea,417.8,417.8
20.,Walczak/Augustyniak,Poland,387.0,387.0
21.,Ford/Campbell,Ontario,379.5,379.5
22.,Neil/McDonald,Ontario,375.8,375.8
23.,Zelingrova/Chabicovsky,Czechia,372.8,372.8
24.,Tremblay/Lanoue,Quebec,362.3,362.3
25.,Wrana/Wrana,Sweden,342.0,342.0
26.,Gagne/Morissette,Quebec,318.0,318.0
27.,Weeks/Steep,Ontario,317.6,317.6
28.,Kjaerland/Braenden,Norway,307.3,307.3
29.,Bouchard/Charest,Quebec,302.3,302.3
30.,Westman/Ahlberg,Sweden,301.5,301.5
31.,Papley/Van Amsterdam,Alberta,296.6,296.6
32.,Gray-Withers/Pietrangelo,Alberta,288.8,288.8
33.,Brunton/Forget,Ontario,285.0,285.0
34.,Immonen/Sipila,Finland,276.8,276.8
35.,Holtermann/Holtermann,Denmark,275.6,275.6
36.,Roenning/Buraas,Denmark,272.7,272.7
37.,Constantini/Mosaner,Italy,260.3,260.3
38.,Spruit/Spruit,Ontario,258.0,258.0
39.,Paulova/Paul,Czechia,238.9,238.9
40.,Arbuckle/Macdonell,Manitoba,227.3,227.3
41.,Springer/Springer,Saskatchewan,216.0,216.0
42.,Moores/Wheeler,Colorado,202.1,202.1
43.,Just/Cherpin,Saskatchewan,197.3,197.3
44.,Otaegi/Unanue,Spain,193.9,193.9
45.,Mackenzie/Middleton,British Columbia,192.4,192.4
46.,Fellmann/Kovalchuk,Quebec,192.0,192.0
47.,Laplante/Gibeau,Quebec,188.6,188.6
48.,Tiuliakova/Totzek,Germany,186.0,186.0
49.,Bailey/Sipura,Ontario,182.6,182.6
50.,Maheux/Maheux,Quebec,181.5,181.5
51.,Zhang/Wang,China,178.9,178.9
52.,Smith/Niepage,Ontario,176.6,176.6
53.,Woo/Wenzek,British Columbia,171.0,171.0
54.,Parmiter/Burgess,New Brunswick,168.8,168.8
55.,Schoell/Sutor,Germany,165.9,165.9
56.,Nathan/Nathan,Ontario,159.0,159.0
57.,Gaidule/Buncis,Latvia,157.5,157.5
58.,Roach/Gilbert,Ontario,142.9,142.9
59.,McMillan/Bryce,Scotland,140.3,140.3
60.,Davie/Watt,Scotland,140.3,140.3
61.,Schwaller/Schwaller,Switzerland,139.5,139.5
62.,Burghout/Thompson,Ontario,137.3,137.3
63.,Weldon/Franey,Colorado,130.5,130.5
64.,Harris/Chester,British Columbia,129.4,129.4
65.,Sanscartier/Caron,Quebec,129.0,129.0
66.,Ford/Krowchuk,Ontario,127.1,127.1
67.,Cinnamon/Tao,Alberta,117.4,117.4
68.,Ouellet/Rousseau,Quebec,115.5,115.5
69.,Schmidt/Schmidt,Denmark,106.5,106.5
70.,Sengul/Cakir,Turkiye,98.4,98.4
71.,Cottenoir/Martel,Quebec,97.9,97.9
72.,Kiemele/Singer,Ontario,93.8,93.8
73.,Scalesse/Pimpini,Italy,90.0,90.0
74.,Heggestad/Heggestad,Ontario,85.9,85.9
75.,Butler/Butler,Ontario,84.4,84.4
76.,Burgess/Burgess,New Brunswick,84.4,84.4
77.,Mulville/Hale,Ontario,81.0,81.0
78.,Cheal/Cheal,Quebec,81.0,81.0
