Rank,Team,Location,YTD,TOTAL
1.,Kaldvee/Lill,Estonia,26.9,210.7
2.,Gill/Hewitt,Australia,46.0,198.4
3.,Skaslien/Nedregotten,Norway,25.3,156.1
4.,Thiesse/Dropkin,Minnesota,37.5,133.2
5.,Peterman/Gallant,Alberta,0.0,128.4
6.,Martin/Laycock,Saskatchewan,16.5,109.6
7.,Koana/Aoki,Japan,0.0,103.7
8.,Lott/Lott,Manitoba,0.0,100.8
9.,Walker/Muyres,Alberta,0.0,100.0
10.,Matsumura/Tanida,Japan,0.0,97.1
11.,Sandham/Craig,Ontario,11.1,96.1
12.,Adams/Robichaud,New Brunswick,24.8,95.8
13.,Jones/Laing,Ontario,0.0,93.0
14.,Perret/Rios,Switzerland,5.2,80.8
15.,Powers/Saunders,Nova Scotia,3.9,77.9
16.,Abbes/Harsch,Germany,13.8,77.4
17.,Wasylkiw/Konings,Ontario,0.0,74.4
18.,Zelingrova/Chabicovsky,Czechia,18.7,68.4
19.,Kim/Seong,Korea,7.5,63.2
20.,Anderson/Stopera,Minnesota,0.0,62.4
21.,Gionest/Desjardins,Quebec,4.3,60.5
22.,Westman/Ahlberg,Sweden,18.4,58.6
23.,Neil/McDonald,Ontario,7.8,57.9
24.,Walczak/Augustyniak,Poland,5.2,56.8
25.,Kjaerland/Braenden,Norway,13.8,54.8
26.,Tremblay/Lanoue,Quebec,4.3,52.6
27.,Ford/Campbell,Ontario,1.0,51.6
28.,Kim/Jeong,Korea,49.5,49.5
29.,Zhang/Wang,China,23.7,47.6
30.,Papley/Van Amsterdam,Alberta,7.2,46.8
31.,Bouchard/Charest,Quebec,4.3,44.6
32.,Weeks/Steep,Ontario,1.0,43.3
33.,Gagne/Morissette,Quebec,0.0,42.4
34.,Immonen/Sipila,Finland,3.5,40.4
35.,Ye/Yu,China,39.9,39.9
36.,Brunton/Forget,Ontario,0.0,38.0
37.,Moores/Wheeler,Colorado,9.4,36.3
38.,Paulova/Paul,Czechia,3.5,35.3
39.,Maheux/Maheux,Quebec,11.0,35.2
40.,Spruit/Spruit,Ontario,0.0,34.4
41.,Nathan/Nathan,Ontario,11.1,32.3
42.,Woo/Wenzek,British Columbia,9.4,32.2
43.,Ford/Krowchuk,Ontario,14.3,31.3
44.,Smith/Niepage,Ontario,7.2,30.8
45.,Otaegi/Unanue,Spain,4.8,30.7
46.,Springer/Springer,Saskatchewan,0.0,28.8
47.,Fellmann/Kovalchuk,Quebec,2.3,27.9
48.,Roach/Gilbert,Ontario,7.8,26.9
49.,Just/Cherpin,Saskatchewan,0.0,26.3
50.,Schoell/Sutor,Germany,3.5,25.6
51.,Bailey/Sipura,Ontario,1.0,25.3
52.,Laplante/Gibeau,Quebec,0.0,25.2
53.,Weldon/Franey,Colorado,6.6,24.0
54.,Parmiter/Burgess,New Brunswick,0.0,22.5
55.,Harris/Chester,British Columbia,5.1,22.4
56.,Kim/Yoo,Korea,22.0,22.0
57.,Gaidule/Buncis,Latvia,0.0,21.0
58.,Burghout/Thompson,Ontario,1.0,19.3
59.,Lee/Kim,Korea,18.0,18.0
60.,Sanscartier/Caron,Quebec,0.0,17.2
61.,Sengul/Cakir,Turkiye,3.5,16.6
62.,Ouellet/Rousseau,Quebec,0.8,16.2
63.,Kim/Jeong,Korea,16.0,16.0
64.,Podoll/Parry,North Dakota,6.6,15.6
65.,Hagenbuch/Laufer,Illinois,9.4,14.5
66.,Neary/Hancock,Newfoundland / Labrador,8.2,14.2
67.,McGillivray/Cowan,British Columbia,5.1,13.2
68.,Cave/King,Ontario,13.2,13.2
69.,Wynter/Sallaj,New Brunswick,5.7,13.1
70.,Cottenoir/Martel,Quebec,0.0,13.1
71.,Kiemele/Singer,Ontario,0.0,12.5
72.,Mallett/Jackson,Ontario,2.7,12.5
73.,Butler/Butler,Ontario,1.0,12.2
74.,Shim/Park,Korea,12.0,12.0
75.,Kim/Kim,Korea,12.0,12.0
76.,Scalesse/Pimpini,Italy,0.0,12.0
77.,Park/Kim,Korea,12.0,12.0
78.,Kim/Lee,Korea,12.0,12.0
79.,Dudt/Dudt,Pennsylvania,6.6,11.7
80.,Cheal/Cheal,Quebec,0.8,11.6
81.,Westhagen/Panoussi,Australia,11.6,11.6
82.,Heggestad/Heggestad,Ontario,0.0,11.5
83.,Ostrowski/Nickel,Minnesota,6.6,11.3
84.,Munroe/Leong,Alberta,7.2,11.3
85.,Leong/Munroe,Alberta,7.2,11.3
86.,Mulville/Hale,Ontario,0.0,10.8
87.,Tanaka/Sato,Japan,4.4,10.7
88.,Ueno/Yamaguchi,Japan,6.0,10.2
89.,Senneker/Visnich,Michigan,1.7,9.8
90.,Millikin/Millikin,Australia,9.5,9.5
91.,Lang/Lang,Saskatchewan,0.0,9.2
92.,Holt/Brenden,North Dakota,1.7,9.2
93.,Lee/Kim,Korea,9.0,9.0
94.,Scebbi/Scebbi,Ohio,0.8,8.9
95.,Marchand/Charbonneau,Quebec,6.0,8.9
96.,Kreviazuk/Mathers,Ontario,0.0,8.5
97.,Kraft/Kraft,North Dakota,3.3,8.4
98.,Kaare/Padama,Estonia,0.0,8.4
99.,Johns/Johns,Australia,8.4,8.4
100.,Beaulieu/Pelletier,Quebec,0.0,8.1
101.,Feldkamp/Villard,Ontario,2.0,8.0
102.,Billo/Martin,Quebec,0.8,8.0
103.,Morissette/Hudon,Quebec,6.0,8.0
104.,Rozon/Champ,Ontario,7.8,7.8
105.,Lamontagne/LaMontagne,Saskatchewan,0.0,7.8
106.,Seol/Kim,Korea,6.0,7.5
107.,Wendling/Paral,Wisconsin,0.0,7.5
108.,Stevens/Weagle,Nova Scotia,7.2,7.2
109.,Hussain/Husain,Guyana,0.0,7.0
110.,Funaki/Kamada,Japan,3.2,6.4
111.,Turbow/Kot,Colorado,0.8,6.2
112.,Robertson/Robertson,Ontario,0.0,6.0
113.,Tanguay/Tremblay,Quebec,3.0,6.0
114.,Park/Jeon,Korea,6.0,6.0
115.,Yang/Lee,Korea,6.0,6.0
116.,Armstrong/Woods,Ontario,0.0,6.0
117.,Kalk/MacAlpine,Alberta,0.0,5.9
118.,McKenzie/Dunlop,Manitoba,5.5,5.5
119.,MacNutt/Abraham,Nova Scotia,5.5,5.5
120.,Kang/Lee,Korea,4.5,5.4
121.,Paquette/Daoust,Northern Ontario,0.0,5.4
122.,Fountain/Fountain,Colorado,1.7,5.3
123.,Chou/Liu,Chinese Taipei,0.0,5.3
124.,Mayra/Kirby,Michigan,1.0,5.2
125.,Workin/Workin,North Dakota,0.8,5.1
126.,Coleman/Robertson,California,3.3,5.0
127.,Stella/Carle,Colorado,1.7,4.8
128.,Chao/Fowler,Illinois,0.0,4.8
