Rank,Team,Location,YTD,TOTAL
1.,Gill/Hewitt,Australia,135.8,212.0
2.,Skaslien/Nedregotten,Norway,112.9,178.3
3.,Kaldvee/Lill,Estonia,60.5,152.4
4.,Koana/Aoki,Japan,98.5,150.3
5.,Thiesse/Dropkin,Minnesota,83.7,131.6
6.,Perret/Rios,Switzerland,80.3,118.1
7.,Dodds/Mouat,Great Britain,41.3,114.5
8.,Kim/Jeong,Korea,110.9,110.9
9.,Westman/Ahlberg,Sweden,88.8,108.9
10.,Matsumura/Tanida,Japan,60.3,108.8
11.,Ye/Yu,China,97.0,97.0
12.,Craig/Craig,Ontario,50.0,92.5
13.,Neil/McDonald,Ontario,65.9,90.9
14.,Adams/Robichaud,New Brunswick,48.8,84.3
15.,Jones/Laing,Ontario,37.0,83.5
16.,Kjaerland/Braenden,Norway,61.7,82.2
17.,Martin/Laycock,Saskatchewan,30.3,76.9
18.,Abbes/Harsch,Germany,35.4,67.2
19.,Gionest/Desjardins,Quebec,37.8,65.9
20.,Zelingrova/Chabicovsky,Czechia,40.6,65.4
21.,Zhang/Wang,China,52.5,64.4
22.,Walczak/Augustyniak,Poland,38.6,64.4
23.,Peterman/Gallant,Alberta,0.0,64.2
24.,Gray-Withers/Pietrangelo,Alberta,44.4,63.7
25.,Anderson/Stopera,Minnesota,29.3,60.5
26.,Weeks/Steep,Ontario,38.1,59.3
27.,Smith/Niepage,Ontario,44.0,55.8
28.,Walker/Muyres,Alberta,5.4,55.4
29.,Ford/Campbell,Ontario,27.9,53.2
30.,Wasylkiw/Konings,Ontario,15.0,52.2
31.,Tremblay/Lanoue,Quebec,27.7,51.8
32.,Schoell/Sutor,Germany,40.5,51.5
33.,Lott/Lott,Manitoba,0.0,50.4
34.,Maheux/Maheux,Quebec,37.4,49.5
35.,Spruit/Spruit,Ontario,31.9,49.1
36.,Bouchard/Charest,Quebec,27.7,47.9
37.,Engler/Wunderlin,Switzerland,14.4,45.8
38.,Kim/Yoo,Korea,44.0,44.0
39.,Kim/Seong,Korea,15.0,42.9
40.,Powers/Saunders,Nova Scotia,3.9,40.9
41.,Ford/Krowchuk,Ontario,31.4,39.9
42.,Tiuliakova/Totzek,Germany,26.9,39.3
43.,Nathan/Nathan,Ontario,28.6,39.2
44.,Immonen/Sipila,Finland,19.6,38.0
45.,Gagne/Morissette,Quebec,15.1,36.3
46.,Lee/Kim,Korea,36.0,36.0
47.,Cave/King,Ontario,35.7,35.7
48.,Woo/Wenzek,British Columbia,23.2,34.6
49.,Schwaller/Schwaller,Switzerland,23.9,33.2
50.,Kim/Jeong,Korea,32.0,32.0
51.,Butler/Butler,Ontario,24.0,29.7
52.,Springer/Springer,Saskatchewan,15.0,29.4
53.,Papley/Van Amsterdam,Alberta,8.5,28.2
54.,Brunton/Forget,Ontario,9.1,28.1
55.,Otaegi/Unanue,Spain,13.8,26.8
56.,Gaidule/Buncis,Latvia,16.1,26.6
57.,Mallett/Jackson,Ontario,21.5,26.3
58.,Sanscartier/Caron,Quebec,16.5,25.1
59.,Moores/Wheeler,Colorado,10.6,24.1
60.,Park/Kim,Korea,24.0,24.0
61.,Kim/Kim,Korea,24.0,24.0
62.,Kim/Lee,Korea,24.0,24.0
63.,Shim/Park,Korea,24.0,24.0
64.,Cinnamon/Tao,Alberta,15.8,23.7
65.,Wrana/Wrana,Sweden,0.0,22.8
66.,Arbuckle/Macdonell,Manitoba,7.4,22.5
67.,Holtermann/Holtermann,Denmark,4.1,22.4
68.,Ueno/Yamaguchi,Japan,20.0,22.1
69.,Roach/Gilbert,Ontario,12.4,21.9
70.,Ryhorchuk/Peterson,Alberta,20.1,21.8
71.,Fellmann/Kovalchuk,Quebec,8.6,21.4
72.,Marchand/Charbonneau,Quebec,19.4,20.8
73.,Wynter/Sallaj,New Brunswick,17.1,20.8
74.,Mackenzie/Middleton,British Columbia,7.2,20.0
75.,Burghout/Thompson,Ontario,10.8,19.9
76.,Paulova/Paul,Czechia,3.5,19.4
77.,Johnston/Johnston,New Brunswick,17.1,19.1
78.,Bailey/Sipura,Ontario,6.8,19.0
79.,Richards/Davies,Alberta,17.1,18.1
80.,Wilson/Dow,Ontario,14.9,18.1
81.,Lee/Kim,Korea,18.0,18.0
82.,Weldon/Franey,Colorado,9.2,17.9
83.,Neary/Hancock,Newfoundland / Labrador,14.8,17.8
84.,Senneker/Visnich,Michigan,13.5,17.6
85.,Tanguay/Charbonneau,Quebec,15.1,16.6
86.,Just/Cherpin,Saskatchewan,3.2,16.4
87.,Grassie/Trembath,Manitoba,14.0,16.4
88.,Trembath/Grassie,Manitoba,14.0,16.4
89.,Podoll/Parry,North Dakota,11.7,16.2
90.,Klimova/Klima,Czechia,16.2,16.2
91.,Ouellet/Rousseau,Quebec,8.4,16.1
92.,Sengul/Cakir,Turkiye,9.4,15.9
93.,Watson/Beland,New Brunswick,15.3,15.3
94.,McGillivray/Cowan,British Columbia,11.1,15.1
95.,Tracy/Riggs,New Brunswick,14.3,15.0
96.,Ostrowski/Nickel,Minnesota,12.5,14.8
97.,Robertson/Robertson,Ontario,11.7,14.7
98.,Kiemele/Singer,Ontario,8.4,14.7
99.,Cheal/Cheal,Quebec,9.1,14.5
100.,Barbarin/Coulot,France,14.3,14.3
101.,Yarmuch/Sawiak,Alberta,11.7,13.9
102.,Remeshylo/Derksen,Saskatchewan,13.8,13.8
103.,Harris/Chester,British Columbia,5.1,13.7
104.,Kraft/Kraft,North Dakota,11.1,13.7
105.,Feldkamp/Villard,Ontario,10.5,13.5
106.,Burgess/Morin,Alberta,12.7,13.4
107.,Forster/Forster,Ontario,13.4,13.4
108.,Dudt/Dudt,Pennsylvania,10.8,13.4
