Rank,Team,Location,YTD,TOTAL
1.,Kaldvee/Lill,Estonia,116.5,198.9
2.,Skaslien/Nedregotten,Norway,103.1,178.6
3.,Gill/Hewitt,Australia,118.5,152.5
4.,Walker/Muyres,Alberta,84.5,151.4
5.,Koana/Aoki,Japan,93.4,149.5
6.,Matsumura/Tanida,Japan,79.5,134.8
7.,Martin/Laycock,Saskatchewan,71.4,111.1
8.,Perret/Rios,Switzerland,63.0,97.7
9.,Weagle/Epping,Ontario,56.8,95.7
10.,Jones/Laing,Ontario,57.7,93.1
11.,Zheng/Pietrangelo,Ontario,63.1,92.5
12.,Sandham/Craig,Ontario,62.5,90.6
13.,Lott/Lott,Manitoba,40.5,90.5
14.,Gionest/Desjardins,Quebec,47.8,81.6
15.,Homan/Bottcher,Alberta,73.5,81.3
16.,Wasylkiw/Konings,Ontario,52.5,79.4
17.,Thiesse/Dropkin,Minnesota,41.6,78.4
18.,Abbes/Harsch,Germany,54.0,76.1
19.,Armstrong/Griffith,British Columbia,48.6,74.6
20.,Dodds/Mouat,Great Britain,67.8,72.6
21.,Peterman/Gallant,Alberta,45.0,72.5
22.,Westman/Ahlberg,Sweden,41.6,70.4
23.,Cotter/Cotter,British Columbia,31.9,69.6
24.,Anderson/Stopera,Minnesota,45.0,69.3
25.,Tran/Kleiter,Alberta,47.8,67.1
26.,Adams/Robichaud,New Brunswick,41.0,65.2
27.,Roenning/Braenden,Norway,13.9,64.6
28.,Papley/Van Amsterdam,Alberta,29.2,63.7
29.,Morrison/Lammie,Great Britain,62.5,63.1
30.,Powers/Saunders,Nova Scotia,33.8,63.1
31.,Yang/Tian,China,34.3,62.2
32.,Jackson/McFadzean,Great Britain,44.6,59.0
33.,Gagne/Morissette,Quebec,30.5,58.6
34.,Han/Wang,China,40.9,58.0
35.,Sluchinski/Sluchinski,Alberta,33.8,56.5
36.,Hamilton/Hamilton,Wisconsin,26.3,54.6
37.,Schwaller/Schwaller,Switzerland,16.5,54.6
38.,Bouchard/Charest,Quebec,30.8,53.1
39.,Reese-Hansen/Chester,British Columbia,18.0,52.1
40.,Zelingrova/Chabicovsky,Czechia,38.3,50.8
41.,Neil/McDonald,Ontario,39.8,50.8
