Rank,Team,Location,YTD,TOTAL
118.,Onodera/Maeda,Japan,0.0,11.0
119.,Henderson/Hardie,Great Britain,0.0,11.0
120.,Kraft/Kraft,North Dakota,0.4,10.7
121.,Weldon/Franey,Colorado,0.0,10.6
122.,Woo/Wenzek,British Columbia,0.0,10.6
123.,Tanguay/Robichaud,Quebec,0.0,10.5
124.,Billo/Martin,Quebec,0.0,10.1
125.,Gargul/Girard,Quebec,0.8,10.1
126.,Gargul/Girard,Montreal,0.8,10.1
127.,Roy/Roy,Quebec,0.0,10.1
128.,Nedohin/Hiebert,Alberta,0.0,10.1
129.,Parmiter/Burgess,New Brunswick,0.0,9.8
130.,Cihlarova/Macek,Czechia,0.0,9.8
131.,Feldkamp/Villard,Ontario,0.0,9.8
132.,Aspeli/Aspeli,Norway,0.0,9.6
133.,Wilson/Horvath,British Columbia,0.0,9.4
134.,Nordbye/Hostmaelingen,Norway,0.0,9.0
135.,Plett/Hennigar,Alberta,0.0,9.0
136.,Duff/Craik,Scotland,0.0,8.8
137.,McMillan/Bryce,Scotland,0.0,8.8
138.,Bukurak/Bukurak,Saskatchewan,0.0,8.6
139.,Smith/Smith,New Zealand,3.3,8.4
140.,Madisson/Kukner,Estonia,0.0,8.4
141.,Roach/Gilbert,Ontario,0.0,8.3
142.,Avena/Avotins,Latvia,0.0,8.3
143.,Cull/Garand,Quebec,0.0,8.3
144.,Senneker/Gleaton,Michigan,0.0,8.1
145.,Jurkute/Rymeikis,Lithuania,0.0,8.0
146.,Berset/Hoesli,Switzerland,0.0,7.9
147.,Wiksten/Wiksten,Denmark,0.0,7.8
148.,Butler/Butler,Ontario,0.0,7.8
149.,Guilbault/Fenech,Ontario,0.0,7.7
150.,Robertson/Robertson,Ontario,0.0,7.3
151.,Remeshylo/Derksen,Saskatchewan,0.0,7.3
152.,Sykorova/Sykora,Slovakia,0.0,7.3
153.,Rykove/Rykov,Lithuania,0.0,7.1
154.,Gaidule/Buncis,Latvia,0.0,6.8
155.,Wilson/Dow,Ontario,0.0,6.8
156.,Lipinska/Stych,Poland,0.0,6.8
157.,Brissette/Fadden,British Columbia,0.0,6.5
158.,Krupickova/Blaha,Czechia,0.0,6.5
159.,Carmody/Jeffrey,Nova Scotia,0.0,6.4
160.,Artichuk/Purcell,Nova Scotia,0.0,6.4
161.,Johnston/Harrison,Ontario,0.0,6.2
162.,Belway/Belway,British Columbia,0.0,6.0
163.,Farwell/Rose,Colorado,0.0,6.0
164.,Ford/Campbell,Ontario,0.0,6.0
165.,Kuzyk/Gamble,Saskatchewan,0.0,5.6
166.,Cinnamon/Davies,Alberta,4.3,5.6
167.,Russell/Sargon,New Zealand,0.6,5.5
168.,Scebbi/Scebbi,Ohio,0.0,5.4
169.,Hajduk/Horacek,Slovakia,0.0,5.3
170.,Heggestad/Heggestad,Ontario,0.0,5.3
171.,Baker/Lott,Manitoba,3.6,5.1
172.,Hagenbuch/Laufer,Illinois,0.0,5.1
173.,Hung/Chang,Hong Kong,0.0,5.0
174.,Lyburn/Lyburn,Manitoba,0.0,4.9
175.,Trembath/Grassie,Manitoba,0.4,4.9
176.,Jensen/Deng,British Columbia,0.0,4.9
177.,Sachkiw/Jacques,Alberta,0.0,4.8
178.,Ostrowski/Botterill,Minnesota,0.0,4.8
179.,Daly/Violette,Minnesota,4.7,4.7
180.,Chen/Chen,Jamaica,0.0,4.7
181.,McGovern/Nathan,Ontario,0.0,4.6
182.,Becker/Becker,New Zealand,1.8,4.6
183.,Sobering/Sobering,Colorado,0.0,4.5
184.,Skrlik/Harty,Alberta,0.0,4.5
185.,Schmidt/Schmidt,Denmark,0.0,4.5
186.,Bowman/Bowman,Ontario,0.0,4.5
187.,Forbregd/Harstad,Norway,0.0,4.5
188.,Campbell/Carr,New Brunswick,0.0,4.5
189.,Nilsson/Olofsson,Sweden,0.0,4.3
190.,Richards/Tao,Alberta,4.3,4.3
191.,Pifer/Pifer,North Carolina,0.0,4.1
192.,Serra/Tompkins,Mexico,0.0,4.1
193.,Wilson/de Jong,British Columbia,0.0,4.1
194.,Fountain/Fountain,Colorado,0.0,3.9
195.,Englot/Schneider,Saskatchewan,0.0,3.8
196.,Chao/Fowler,Illinois,0.0,3.8
197.,Morrison/Morton,,0.0,3.8
198.,Strouse/Fenner,Michigan,3.8,3.8
199.,Kawleski/Kauffman,Minnesota,0.0,3.8
200.,Liscumb/Liscumb,Ontario,0.0,3.8
201.,Tammes/Lill,Estonia,0.0,3.8
202.,Benson/Jackson,Michigan,0.0,3.6
203.,Regza/Regza,Latvia,0.0,3.6
204.,Pitts/Flanagan,New Zealand,1.5,3.5
205.,Kenney/Scimia,Connecticut,0.0,3.4
206.,Bookhout/Wiza,Wisconsin,0.0,3.4
207.,Legault/Janidlo,Quebec,0.0,3.4
208.,Hussain/Husain,Guyana,0.0,3.4
209.,Kjaerland/Lilleboe,Norway,0.0,3.4
210.,Wood/Falco,Colorado,0.0,3.3
211.,Turbow/Kot,Colorado,0.0,3.3
212.,Smith/Mosher,Nova Scotia,0.0,3.3
213.,Miura/Sasaki,Japan,0.0,3.0
214.,Calcutt/Kenlan,North Carolina,0.0,3.0
215.,Johnston/Johnston,New Brunswick,0.0,2.8
216.,Roenning/Daehlin,Norway,0.0,2.8
217.,Walsh/Simin,California,0.0,2.8
218.,Suuripaa/Rantamaki,Finland,0.0,2.8
219.,Chou/Liu,Chinese Taipei,0.0,2.8
220.,Shipmaker/Shinde,Ontario,0.0,2.7
221.,Gale Seixeiro/Seixeiro,British Columbia,0.0,2.7
222.,Sherry/Sherry,Illinois,0.0,2.6
223.,Stevens/Weagle,Nova Scotia,0.0,2.6
224.,Martins Ethier/Santos,Portugal,0.0,2.6
225.,Barron/Wilson,Ireland,0.0,2.5
226.,Headley/Headley,Ontario,0.0,2.4
227.,Damen/Van Amsterdam,Alberta,0.0,2.4
228.,Chaudhari/Raju,India,0.0,2.4
229.,McGillivray/Croteau,British Columbia,0.0,2.4
230.,DiBaggio/Visnich,Ohio,0.0,2.4
231.,Kinney/Walker,New Zealand,1.8,2.3
232.,Rychiger/Gloor,Switzerland,0.0,2.3
233.,Moskalenko/Suhak,Ukraine,0.0,2.3
234.,Ratte/Ratte,Quebec,0.0,2.3
235.,Daley/Vainio,Ontario,0.0,2.3
236.,Ozeki/Aoki,Japan,0.0,2.3
237.,Theriault/Beland,Quebec,0.0,2.3
238.,Hallstroem/Patz,Sweden,0.0,2.3
239.,Masse/Doston,Quebec,0.0,2.3
240.,Kitazawa/Usui,Japan,0.0,2.3
241.,Petersen/Becker,New Zealand,2.3,2.3
242.,Triolo/Sanders,Washington,0.0,2.3
243.,Forget/Robert,Ontario,0.0,2.3
244.,Armstrong/Woods,Ontario,0.0,2.3
245.,Volfova/Valek,Czechia,0.0,2.2
246.,Neary/Hancock,Newfoundland / Labrador,0.0,2.1
247.,McGillivray/Cowan,British Columbia,0.0,2.1
248.,Paquette/Daoust,Northern Ontario,0.0,2.1
