Rank,Team,Location,YTD,TOTAL
1.,Kaldvee/Lill,Estonia,62.5,227.3
2.,Skaslien/Nedregotten,Norway,55.0,206.0
3.,Walker/Muyres,Alberta,30.3,164.0
4.,Koana/Aoki,Japan,49.6,161.8
5.,Matsumura/Tanida,Japan,38.4,149.0
6.,Roenning/Braenden,Norway,13.9,115.4
7.,Martin/Laycock,Saskatchewan,35.8,115.3
8.,Gill/Hewitt,Australia,43.7,111.6
9.,Lott/Lott,Manitoba,7.5,107.4
10.,Perret/Rios,Switzerland,31.5,100.8
11.,Zheng/Pietrangelo,Ontario,37.5,96.2
12.,Thiesse/Dropkin,Minnesota,22.5,96.1
13.,Cotter/Cotter,British Columbia,19.1,94.6
14.,Gionest/Desjardins,Quebec,23.8,91.4
15.,Wrana/Wrana,Sweden,0.0,89.0
16.,Weagle/Epping,Ontario,10.5,88.3
17.,Anderson/Stopera,Minnesota,31.5,80.2
18.,Sandham/Craig,Ontario,23.5,79.6
19.,St-Georges/Asselin,Quebec,0.0,77.7
20.,Jones/Laing,Ontario,6.2,77.0
21.,Schwaller/Schwaller,Switzerland,0.0,76.1
22.,Reese-Hansen/Chester,British Columbia,7.5,75.6
23.,Abbes/Harsch,Germany,28.5,72.7
24.,Wasylkiw/Konings,Ontario,17.5,71.3
25.,Yang/Tian,China,15.0,70.7
26.,Hamilton/Hamilton,Wisconsin,12.8,69.5
27.,Papley/Van Amsterdam,Alberta,0.0,69.1
28.,Kim/Jeong,Korea,0.0,69.0
29.,Gagne/Morissette,Quebec,8.3,64.5
30.,Bouchard/Charest,Quebec,18.8,63.5
31.,Zelingrova/Chabicovsky,Czechia,38.3,63.4
32.,Westman/Ahlberg,Sweden,5.6,63.1
33.,Paulova/Paul,Czechia,18.0,62.2
34.,Powers/Saunders,Nova Scotia,0.0,58.6
35.,Tremblay/Lanoue,Quebec,15.0,58.3
36.,Anderson-Heide/Richardson,Minnesota,19.0,55.1
37.,Peterman/Gallant,Alberta,0.0,55.0
38.,Walczak/Augustyniak,Poland,16.5,54.9
39.,Adams/Robichaud,New Brunswick,6.0,54.3
40.,Armstrong/Griffith,British Columbia,1.9,53.8
41.,Holterman/Holtermann,Denmark,13.5,52.7
42.,Sluchinski/Sluchinski,Alberta,6.4,51.9
43.,Jackson/McFadzean,Great Britain,21.3,50.1
44.,Cheal/Cheal,Quebec,0.0,48.1
45.,Dodds/Mouat,Great Britain,37.5,47.1
46.,Maheux/Maheux,Quebec,17.5,46.5
47.,Otaegi/Unanue,Spain,9.6,44.7
48.,Smith/Thomson,Ontario,15.0,43.3
49.,Engler/Wunderlin,Switzerland,4.3,42.1
50.,Gamble/Kalthoff,Saskatchewan,10.7,41.6
51.,Moores/Wheeler,Colorado,15.9,41.5
52.,Tran/Kleiter,Alberta,2.1,40.6
53.,Mackenzie/Middleton,British Columbia,14.3,40.6
54.,Paetz/Michel,Switzerland,0.0,39.3
55.,Bear/Oldenburg,Minnesota,21.5,38.7
56.,Han/Wang,China,0.0,34.2
57.,Laplante/Gibeau,Quebec,0.8,33.9
58.,Neil/McDonald,Ontario,11.0,33.1
59.,Springer/Springer,Saskatchewan,18.5,32.3
60.,Immonen/Sipila,Finland,3.0,32.0
61.,Ueno/Yamaguchi,Japan,0.0,31.8
62.,Sturmay/Kleibrink,Alberta,2.1,30.7
63.,Brunton/Horgan,Ontario,6.0,30.6
64.,Cottenoir/Martel,Quebec,1.1,29.8
65.,Persinger/Casper,Alaska,3.8,28.6
66.,Geving/Shuster,Minnesota,0.0,28.2
67.,Farrell/Thurston,Minnesota,0.9,27.8
68.,Wiseman/Smith,Newfoundland / Labrador,15.0,27.0
69.,Kaare/Padama,Estonia,0.0,26.6
70.,Homan/Bottcher,Alberta,10.6,26.2
71.,Spruit/Spruit,Ontario,6.0,25.8
72.,Arbuckle/Macdonell,Manitoba,16.5,24.8
73.,Parmiter/Burgess,New Brunswick,16.5,24.3
74.,Henderson/Hardie,Great Britain,15.0,23.8
75.,Yildiz/Cakir,Turkiye,1.9,23.8
76.,Weeks/Steep,Ontario,0.0,23.7
77.,Tiuliakova/Totzek,Germany,11.3,23.1
78.,Morrison/Lammie,Great Britain,21.3,22.5
79.,Raniseth/Crough,Alberta,8.6,21.9
80.,Rhyme/Smith,Minnesota,2.8,21.3
81.,Kreviazuk/Mathers,Ontario,0.0,21.0
82.,Schmiemann/Ginter,Alberta,0.0,21.0
83.,Hueppi/Weiss,Switzerland,1.9,20.5
84.,Riley/Mullen,Quebec,0.0,19.8
85.,Oestgaard/Eriksen,Norway,5.1,19.8
86.,Farkova/Jakl,Czechia,6.8,18.6
87.,Tuck/Tuck Jr.,Ontario,0.0,18.6
88.,Barber/Heidt,Saskatchewan,0.0,18.4
89.,Hasselborg/Eriksson,Sweden,0.0,18.4
90.,Just/Cherpin,Saskatchewan,6.3,17.9
91.,Smith/Hood,New Zealand,3.3,17.8
92.,Forster/Forster,Ontario,0.0,17.4
93.,Myketyn-Driscoll/Saccary,New Brunswick,0.0,17.4
94.,Howald/Lachat-Couchepin,Switzerland,0.0,16.9
95.,Gargul/Girard,Quebec,9.4,16.9
96.,Gargul/Girard,Montreal,9.4,16.9
