Rank,Team,Location,YTD,TOTAL
1.,Kaldvee/Lill,Estonia,116.5,198.9
2.,Skaslien/Nedregotten,Norway,103.1,178.6
3.,Gill/Hewitt,Australia,118.5,152.5
4.,Koana/Aoki,Japan,93.4,149.5
5.,Walker/Muyres,Alberta,77.0,143.9
6.,Matsumura/Tanida,Japan,68.1,123.4
7.,Martin/Laycock,Saskatchewan,71.4,111.1
8.,Perret/Rios,Switzerland,63.0,97.7
9.,Weagle/Epping,Ontario,56.8,95.7
10.,Zheng/Pietrangelo,Ontario,63.1,92.5
11.,Sandham/Craig,Ontario,59.8,87.8
12.,Gionest/Desjardins,Quebec,47.8,81.6
13.,Wasylkiw/Konings,Ontario,52.5,79.4
14.,Thiesse/Dropkin,Minnesota,41.6,78.4
15.,Abbes/Harsch,Germany,54.0,76.1
16.,Dodds/Mouat,Great Britain,67.8,72.6
17.,Westman/Ahlberg,Sweden,41.6,70.4
18.,Anderson/Stopera,Minnesota,45.0,69.3
19.,Jones/Laing,Ontario,32.2,67.6
20.,Homan/Bottcher,Alberta,58.6,66.4
21.,Roenning/Braenden,Norway,13.9,64.6
22.,Cotter/Cotter,British Columbia,26.6,64.4
23.,Morrison/Lammie,Great Britain,62.5,63.1
24.,Tran/Kleiter,Alberta,43.3,62.6
25.,Yang/Tian,China,34.3,62.2
26.,Jackson/McFadzean,Great Britain,44.6,59.0
27.,Lott/Lott,Manitoba,7.5,57.5
28.,Papley/Van Amsterdam,Alberta,22.4,57.0
29.,Sluchinski/Sluchinski,Alberta,33.8,56.5
30.,Powers/Saunders,Nova Scotia,27.0,56.3
31.,Hamilton/Hamilton,Wisconsin,26.3,54.6
32.,Schwaller/Schwaller,Switzerland,16.5,54.6
33.,Bouchard/Charest,Quebec,30.8,53.1
34.,Reese-Hansen/Chester,British Columbia,16.9,50.9
35.,Zelingrova/Chabicovsky,Czechia,38.3,50.8
36.,Neil/McDonald,Ontario,39.8,50.8
37.,Armstrong/Griffith,British Columbia,23.1,49.1
38.,Paulova/Paul,Czechia,26.1,48.2
39.,Han/Wang,China,30.3,47.3
40.,Adams/Robichaud,New Brunswick,23.0,47.2
41.,Walczak/Augustyniak,Poland,27.2,46.4
