Rank,Team,Location,YTD,TOTAL
1.,Gill/Hewitt,Australia,175.0,213.1
2.,Skaslien/Nedregotten,Norway,132.5,165.2
3.,Kim/Jeong,Korea,158.7,158.7
4.,Thiesse/Dropkin,Minnesota,124.7,148.6
5.,Koana/Aoki,Japan,119.7,145.7
6.,Ye/Yu,China,131.8,131.8
7.,Westman/Ahlberg,Sweden,116.3,126.4
8.,Zelingrova/Chabicovsky,Czechia,105.8,118.3
9.,Perret/Rios,Switzerland,95.3,114.2
10.,Kaldvee/Lill,Estonia,66.7,112.7
11.,Dodds/Mouat,Great Britain,68.2,104.8
12.,Ford/Campbell,Ontario,91.5,104.1
13.,Neil/McDonald,Ontario,83.5,96.0
14.,Craig/Craig,Ontario,69.8,91.0
15.,Matsumura/Tanida,Japan,63.7,88.0
16.,Weeks/Steep,Ontario,72.7,83.3
17.,Adams/Robichaud,New Brunswick,61.3,79.1
18.,Kjaerland/Braenden,Norway,61.7,71.9
19.,Fenson/Stopera,Minnesota,55.7,71.3
20.,Walczak/Augustyniak,Poland,56.9,69.8
21.,Zhang/Wang,China,62.4,68.4
22.,Smith/Niepage,Ontario,62.5,68.3
23.,Martin/Laycock,Saskatchewan,41.9,65.2
24.,Schoell/Sutor,Germany,55.4,60.9
25.,Engler/Wunderlin,Switzerland,45.2,60.9
26.,Peterman/Gallant,Alberta,28.5,60.6
27.,Jones/Laing,Ontario,37.0,60.3
28.,Spruit/Spruit,Ontario,48.7,57.3
29.,Gionest/Desjardins,Quebec,41.7,55.8
30.,Gray-Withers/Pietrangelo,Alberta,44.4,54.1
31.,Abbes/Harsch,Germany,35.4,51.3
32.,Cave/King,Ontario,50.0,50.0
33.,Maheux/Maheux,Quebec,42.8,48.8
34.,Walker/Muyres,Alberta,21.6,46.6
35.,Lott/Lott,Manitoba,20.9,46.1
36.,Gaidule/Buncis,Latvia,40.3,45.5
37.,Wasylkiw/Konings,Ontario,26.0,44.6
38.,Woo/Wenzek,British Columbia,38.4,44.1
