Rank,Team,Location,YTD,TOTAL
1.,Kaldvee/Lill,Estonia,0.0,229.8
2.,Gill/Hewitt,Australia,0.0,190.5
3.,Skaslien/Nedregotten,Norway,0.0,163.5
4.,Peterman/Gallant,Alberta,0.0,160.5
5.,Koana/Aoki,Japan,0.0,129.6
6.,Lott/Lott,Manitoba,0.0,126.0
7.,Walker/Muyres,Alberta,0.0,125.0
8.,Matsumura/Tanida,Japan,0.0,121.4
9.,Thiesse/Dropkin,Minnesota,0.0,119.6
10.,Martin/Laycock,Saskatchewan,0.0,116.4
11.,Jones/Laing,Ontario,0.0,116.3
12.,Craig/Craig,Ontario,0.0,106.3
13.,Perret/Rios,Switzerland,0.0,94.5
14.,Wasylkiw/Konings,Ontario,0.0,93.0
15.,Powers/Saunders,Nova Scotia,0.0,92.5
16.,Adams/Robichaud,New Brunswick,0.0,88.8
17.,Abbes/Harsch,Germany,0.0,79.5
18.,Anderson/Stopera,Minnesota,0.0,78.0
19.,Gionest/Desjardins,Quebec,0.0,70.3
20.,Kim/Seong,Korea,0.0,69.6
21.,Walczak/Augustyniak,Poland,0.0,64.5
22.,Ford/Campbell,Ontario,0.0,63.3
23.,Neil/McDonald,Ontario,0.0,62.6
24.,Zelingrova/Chabicovsky,Czechia,0.0,62.1
25.,Tremblay/Lanoue,Quebec,0.0,60.4
26.,Gagne/Morissette,Quebec,0.0,53.0
27.,Weeks/Steep,Ontario,0.0,52.9
28.,Kjaerland/Braenden,Norway,0.0,51.2
29.,Bouchard/Charest,Quebec,0.0,50.4
30.,Westman/Ahlberg,Sweden,0.0,50.3
31.,Papley/Van Amsterdam,Alberta,0.0,49.4
32.,Gray-Withers/Pietrangelo,Alberta,0.0,48.1
33.,Brunton/Forget,Ontario,0.0,47.5
34.,Immonen/Sipila,Finland,0.0,46.1
35.,Spruit/Spruit,Ontario,0.0,43.0
36.,Paulova/Paul,Czechia,0.0,39.8
37.,Arbuckle/Macdonell,Manitoba,0.0,37.9
38.,Springer/Springer,Saskatchewan,0.0,36.0
39.,Moores/Wheeler,Colorado,0.0,33.7
40.,Just/Cherpin,Saskatchewan,0.0,32.9
41.,Otaegi/Unanue,Spain,0.0,32.3
42.,Mackenzie/Middleton,British Columbia,0.0,32.1
43.,Fellmann/Kovalchuk,Quebec,0.0,32.0
44.,Laplante/Gibeau,Quebec,0.0,31.4
45.,Tiuliakova/Totzek,Germany,0.0,31.0
46.,Bailey/Sipura,Ontario,0.0,30.4
47.,Maheux/Maheux,Quebec,0.0,30.3
48.,Zhang/Wang,China,0.0,29.8
49.,Smith/Niepage,Ontario,0.0,29.4
50.,Woo/Wenzek,British Columbia,0.0,28.5
51.,Parmiter/Burgess,New Brunswick,0.0,28.1
52.,Schoell/Sutor,Germany,0.0,27.7
53.,Nathan/Nathan,Ontario,0.0,26.5
54.,Gaidule/Buncis,Latvia,0.0,26.3
55.,Roach/Gilbert,Ontario,0.0,23.8
56.,Schwaller/Schwaller,Switzerland,0.0,23.3
