Rank,Team,Location,YTD,TOTAL
1.,Gill/Hewitt,Australia,0.0,257.5
2.,Thiesse/Dropkin,Minnesota,0.0,212.2
3.,Skaslien/Nedregotten,Norway,0.0,186.7
4.,Westman/Ahlberg,Sweden,0.0,179.6
5.,Kim/Jeong,Korea,0.0,179.3
6.,Koana/Aoki,Japan,0.0,166.8
7.,Ford/Campbell,Ontario,0.0,150.3
8.,Ye/Yu,China,0.0,150.1
9.,Wrana/Wrana,Sweden,0.0,142.7
10.,Gray-Withers/Pietrangelo,Alberta,0.0,139.4
11.,Zelingrova/Chabicovsky,Czechia,0.0,136.5
12.,Dodds/Mouat,Great Britain,0.0,131.8
13.,Perret/Rios,Switzerland,0.0,118.4
14.,Constantini/Mosaner,Italy,0.0,115.6
15.,Kaldvee/Lill,Estonia,0.0,114.8
16.,Neil/McDonald,Ontario,0.0,112.9
17.,Lott/Lott,Manitoba,0.0,105.9
18.,Sanscartier/Caron,Quebec,0.0,102.5
19.,Matsumura/Tanida,Japan,0.0,99.8
20.,McMillan/Bryce,Scotland,0.0,92.3
21.,Kjaerland/Braenden,Norway,0.0,90.8
22.,Adams/Robichaud,New Brunswick,0.0,90.7
23.,Weeks/Steep,Ontario,0.0,88.6
24.,Craig/Craig,Ontario,0.0,83.9
25.,Han/Yu,China,0.0,83.3
26.,Cinnamon/Tao,Alberta,0.0,82.5
27.,Brunton/Forget,Ontario,0.0,78.6
28.,Peterman/Gallant,Alberta,0.0,78.2
29.,Walczak/Augustyniak,Poland,0.0,76.9
30.,Gionest/Desjardins,Quebec,0.0,75.5
31.,Schwaller/Schwaller,Switzerland,0.0,75.3
32.,Fenson/Stopera,Minnesota,0.0,71.8
33.,Smith/Niepage,Ontario,0.0,68.7
34.,Zhang/Wang,China,0.0,64.5
35.,Jones/Laing,Ontario,0.0,62.9
36.,Mallett/Jackson,Ontario,0.0,58.7
37.,Smith/Smith,New Zealand,0.0,58.2
38.,Schoell/Sutor,Germany,0.0,57.8
39.,Tremblay/Lanoue,Quebec,0.0,57.5
40.,Woo/Wenzek,British Columbia,0.0,55.8
41.,Cave/King,Ontario,0.0,55.3
42.,Martin/Laycock,Saskatchewan,0.0,54.9
43.,Spruit/Spruit,Ontario,0.0,52.9
44.,Watson/Beland,New Brunswick,0.0,52.6
45.,Maheux/Maheux,Quebec,0.0,52.4
46.,Engler/Wunderlin,Switzerland,0.0,51.7
47.,Nathan/Nathan,Ontario,0.0,50.3
48.,Udvardi-Palancsa/Tatar,Hungary,0.0,49.7
49.,Klimova/Klima,Czechia,0.0,49.2
50.,Barbarin/Coulot,France,0.0,49.0
51.,Immonen/Sipila,Finland,0.0,47.9
52.,Senneker/Visnich,Michigan,0.0,47.6
53.,Gaidule/Buncis,Latvia,0.0,45.6
54.,Bouchard/Charest,Quebec,0.0,45.0
55.,Kim/Yoo,Korea,0.0,44.0
56.,Davie/Watt,Scotland,0.0,43.5
57.,Wasylkiw/Konings,Ontario,0.0,41.8
58.,Homan/Bottcher,Alberta,0.0,41.7
59.,Roenning/Buraas,Denmark,0.0,41.5
60.,Powers/Saunders,Nova Scotia,0.0,41.3
61.,Berset/Hoesli,Switzerland,0.0,40.9
62.,Kawleski/Kauffman,North Dakota,0.0,40.4
63.,Wilson/Dow,Ontario,0.0,40.4
64.,Bomas/Gosgens,Netherlands,0.0,38.1
65.,Feldkamp/Villard,Ontario,0.0,37.6
66.,Forster/Forster,Ontario,0.0,36.8
67.,Lee/Kim,Korea,0.0,36.0
68.,Abbes/Harsch,Germany,0.0,35.4
69.,Moores/Wheeler,Colorado,0.0,33.3
70.,Kim/Jeong,Korea,0.0,32.0
71.,Sutor/Totzek,Germany,0.0,31.5
72.,Fleming/Bestland,Minnesota,0.0,30.4
73.,Sengul/Cakir,Turkiye,0.0,29.4
74.,Walker/Muyres,Alberta,0.0,27.3
75.,Cheal/Cheal,Quebec,0.0,27.0
76.,Bailey/Sipura,Ontario,0.0,26.6
77.,Butler/Butler,Ontario,0.0,26.4
78.,Gagne/Morissette,Quebec,0.0,26.4
79.,Ryhorchuk/Peterson,Alberta,0.0,26.1
80.,Hagenbuch/Laufer,Illinois,0.0,26.0
81.,Marchand/Charbonneau,Quebec,0.0,25.6
82.,Loken/Tanaka,British Columbia,0.0,25.2
83.,Park/Kim,Korea,0.0,24.0
84.,Kim/Lee,Korea,0.0,24.0
85.,Shim/Park,Korea,0.0,24.0
86.,Kim/Kim,Korea,0.0,24.0
87.,Coleman/Robertson,California,0.0,23.9
88.,Burghout/Thompson,Ontario,0.0,23.7
89.,Cihlarova/Macek,Czechia,0.0,22.8
90.,Thunman/Granbom,Sweden,0.0,22.5
91.,Campbell/Carr,New Brunswick,0.0,22.3
92.,Hueppi/Weiss,Switzerland,0.0,21.5
93.,Tonoli/Hoekman,Netherlands,0.0,21.4
94.,Ueno/Yamaguchi,Japan,0.0,21.3
95.,Ford/Krowchuk,Ontario,0.0,21.3
96.,Wynter/Sallaj,New Brunswick,0.0,20.8
97.,Cull/Garand,Quebec,0.0,20.7
98.,Arbuckle/Macdonell,Manitoba,0.0,20.7
99.,Blackburn/Fortin,Quebec,0.0,20.6
100.,Weldon/Franey,Colorado,0.0,20.3
101.,Ostrowski/Nickel,Minnesota,0.0,20.1
102.,Remeshylo/Derksen,Saskatchewan,0.0,19.3
103.,Holtermann/Holtermann,Denmark,0.0,19.3
104.,Dudt/Dudt,Pennsylvania,0.0,18.8
105.,Richards/Davies,Alberta,0.0,18.6
106.,Laurie/Brewster,Scotland,0.0,18.6
107.,Cottenoir/Martel,Quebec,0.0,18.3
108.,Ouellet/Rousseau,Quebec,0.0,18.2
109.,Lee/Kim,Korea,0.0,18.0
110.,Johnston/Johnston,New Brunswick,0.0,18.0
111.,Podoll/Parry,North Dakota,0.0,17.9
112.,Tanguay/Charbonneau,Quebec,0.0,17.8
113.,Neary/Hancock,Newfoundland / Labrador,0.0,17.5
114.,Burgess/Morin,Alberta,0.0,16.9
