Rank,Team,Location,YTD,TOTAL
1.,Thiesse/Dropkin,Minnesota,212.2,212.2
2.,Gill/Hewitt,Australia,190.7,190.7
3.,Kim/Jeong,Korea,176.6,176.6
4.,Skaslien/Nedregotten,Norway,174.8,174.8
5.,Ye/Yu,China,150.1,150.1
6.,Koana/Aoki,Japan,145.6,145.6
7.,Wrana/Wrana,Sweden,142.7,142.7
8.,Westman/Ahlberg,Sweden,137.5,137.5
9.,Dodds/Mouat,Great Britain,131.8,131.8
10.,Zelingrova/Chabicovsky,Czechia,123.7,123.7
11.,Ford/Campbell,Ontario,119.3,119.3
12.,Perret/Rios,Switzerland,100.5,100.5
13.,Neil/McDonald,Ontario,87.4,87.4
14.,Matsumura/Tanida,Japan,84.0,84.0
15.,Craig/Craig,Ontario,83.9,83.9
16.,Kaldvee/Lill,Estonia,78.6,78.6
17.,Weeks/Steep,Ontario,78.0,78.0
18.,Schwaller/Schwaller,Switzerland,75.3,75.3
19.,Fenson/Stopera,Minnesota,71.8,71.8
20.,Constantini/Mosaner,Italy,71.6,71.6
21.,Kjaerland/Braenden,Norway,70.7,70.7
22.,Adams/Robichaud,New Brunswick,70.3,70.3
23.,Gionest/Desjardins,Quebec,69.9,69.9
24.,Smith/Niepage,Ontario,68.7,68.7
25.,Peterman/Gallant,Alberta,67.2,67.2
26.,Zhang/Wang,China,64.5,64.5
27.,Brunton/Forget,Ontario,63.9,63.9
28.,Sanscartier/Caron,Quebec,61.2,61.2
29.,Walczak/Augustyniak,Poland,61.1,61.1
30.,Mallett/Jackson,Ontario,58.7,58.7
31.,Schoell/Sutor,Germany,57.8,57.8
32.,Cave/King,Ontario,55.3,55.3
33.,Gray-Withers/Pietrangelo,Alberta,54.9,54.9
34.,Spruit/Spruit,Ontario,52.9,52.9
35.,Maheux/Maheux,Quebec,52.4,52.4
36.,Jones/Laing,Ontario,51.9,51.9
37.,Tremblay/Lanoue,Quebec,49.9,49.9
38.,Martin/Laycock,Saskatchewan,49.4,49.4
39.,Nathan/Nathan,Ontario,49.2,49.2
40.,Engler/Wunderlin,Switzerland,48.7,48.7
41.,Senneker/Visnich,Michigan,47.6,47.6
42.,Gaidule/Buncis,Latvia,45.6,45.6
43.,Kim/Yoo,Korea,44.0,44.0
44.,Wasylkiw/Konings,Ontario,41.8,41.8
45.,Watson/Beland,New Brunswick,41.6,41.6
46.,Roenning/Buraas,Denmark,41.5,41.5
47.,Wilson/Dow,Ontario,40.4,40.4
48.,Woo/Wenzek,British Columbia,39.2,39.2
49.,Barbarin/Coulot,France,39.1,39.1
50.,Immonen/Sipila,Finland,37.8,37.8
51.,Forster/Forster,Ontario,36.8,36.8
52.,Bouchard/Charest,Quebec,36.7,36.7
53.,Kawleski/Kauffman,North Dakota,36.3,36.3
54.,Lee/Kim,Korea,36.0,36.0
55.,Abbes/Harsch,Germany,35.4,35.4
56.,Feldkamp/Villard,Ontario,35.2,35.2
57.,Moores/Wheeler,Colorado,33.3,33.3
58.,Lott/Lott,Manitoba,32.4,32.4
59.,Kim/Jeong,Korea,32.0,32.0
60.,Fleming/Bestland,Minnesota,30.4,30.4
61.,Sengul/Cakir,Turkiye,29.4,29.4
62.,Walker/Muyres,Alberta,27.3,27.3
63.,Cheal/Cheal,Quebec,27.0,27.0
64.,Tiuliakova/Totzek,Germany,26.9,26.9
65.,Bailey/Sipura,Ontario,26.6,26.6
66.,Butler/Butler,Ontario,26.4,26.4
67.,Cinnamon/Tao,Alberta,26.3,26.3
68.,Hagenbuch/Laufer,Illinois,26.0,26.0
69.,Marchand/Charbonneau,Quebec,25.6,25.6
70.,Udvardi-Palancsa/Tatar,Hungary,25.3,25.3
71.,Kim/Kim,Korea,24.0,24.0
72.,Shim/Park,Korea,24.0,24.0
73.,Kim/Lee,Korea,24.0,24.0
74.,Park/Kim,Korea,24.0,24.0
75.,Coleman/Robertson,California,23.9,23.9
76.,Burghout/Thompson,Ontario,23.7,23.7
77.,Campbell/Carr,New Brunswick,22.3,22.3
78.,McMillan/Bryce,Scotland,21.8,21.8
79.,Ford/Krowchuk,Ontario,21.3,21.3
80.,Wynter/Sallaj,New Brunswick,20.8,20.8
81.,Weldon/Franey,Colorado,20.3,20.3
82.,Ryhorchuk/Peterson,Alberta,20.1,20.1
83.,Ostrowski/Nickel,Minnesota,20.1,20.1
84.,Ueno/Yamaguchi,Japan,20.0,20.0
85.,Blackburn/Fortin,Quebec,19.4,19.4
86.,Remeshylo/Derksen,Saskatchewan,19.3,19.3
87.,Holtermann/Holtermann,Denmark,19.3,19.3
88.,Hueppi/Weiss,Switzerland,18.9,18.9
89.,Dudt/Dudt,Pennsylvania,18.8,18.8
90.,Bomas/Gosgens,Netherlands,18.4,18.4
91.,Cull/Garand,Quebec,18.4,18.4
92.,Cottenoir/Martel,Quebec,18.3,18.3
93.,Tonoli/Hoekman,Netherlands,18.3,18.3
94.,Ouellet/Rousseau,Quebec,18.2,18.2
95.,Lee/Kim,Korea,18.0,18.0
96.,Johnston/Johnston,New Brunswick,18.0,18.0
97.,Loken/Tanaka,British Columbia,17.9,17.9
98.,Podoll/Parry,North Dakota,17.9,17.9
99.,Tanguay/Charbonneau,Quebec,17.8,17.8
100.,Neary/Hancock,Newfoundland / Labrador,17.5,17.5
101.,Gagne/Morissette,Quebec,17.1,17.1
102.,Richards/Davies,Alberta,17.1,17.1
103.,Burgess/Morin,Alberta,16.9,16.9
104.,Kiemele/Singer,Ontario,16.5,16.5
