Rank,Team,Location,YTD,TOTAL
1.,Gill/Hewitt,Australia,175.0,213.1
2.,Skaslien/Nedregotten,Norway,151.0,183.7
3.,Kim/Jeong,Korea,158.7,158.7
4.,Koana/Aoki,Japan,128.8,154.7
5.,Thiesse/Dropkin,Minnesota,124.7,148.6
6.,Ye/Yu,China,131.8,131.8
7.,Westman/Ahlberg,Sweden,119.1,129.1
8.,Zelingrova/Chabicovsky,Czechia,105.8,118.3
9.,Perret/Rios,Switzerland,95.3,114.2
10.,Kaldvee/Lill,Estonia,66.7,112.7
11.,Ford/Campbell,Ontario,99.3,112.0
12.,Dodds/Mouat,Great Britain,68.2,104.8
13.,Matsumura/Tanida,Japan,80.5,104.8
14.,Neil/McDonald,Ontario,83.5,96.0
15.,Craig/Craig,Ontario,69.8,91.0
16.,Weeks/Steep,Ontario,72.7,83.3
17.,Adams/Robichaud,New Brunswick,61.3,79.1
18.,Peterman/Gallant,Alberta,43.4,75.5
19.,Jones/Laing,Ontario,51.9,75.1
20.,Kjaerland/Braenden,Norway,61.7,71.9
21.,Fenson/Stopera,Minnesota,55.7,71.3
22.,Walczak/Augustyniak,Poland,56.9,69.8
23.,Zhang/Wang,China,62.4,68.4
24.,Smith/Niepage,Ontario,62.5,68.3
25.,Martin/Laycock,Saskatchewan,41.9,65.2
26.,Gray-Withers/Pietrangelo,Alberta,54.9,64.6
27.,Engler/Wunderlin,Switzerland,48.7,64.4
28.,Schoell/Sutor,Germany,55.4,60.9
29.,Lott/Lott,Manitoba,32.4,57.6
30.,Spruit/Spruit,Ontario,48.7,57.3
31.,Schwaller/Schwaller,Switzerland,51.4,56.1
32.,Gionest/Desjardins,Quebec,41.7,55.8
33.,Brunton/Forget,Ontario,46.2,55.7
34.,Wasylkiw/Konings,Ontario,36.5,55.1
35.,Walker/Muyres,Alberta,27.3,52.3
36.,Abbes/Harsch,Germany,35.4,51.3
37.,Cave/King,Ontario,50.0,50.0
38.,Gaidule/Buncis,Latvia,43.9,49.1
39.,Maheux/Maheux,Quebec,42.8,48.8
40.,Woo/Wenzek,British Columbia,38.4,44.1
41.,Kim/Yoo,Korea,44.0,44.0
42.,Immonen/Sipila,Finland,34.6,43.8
43.,Tremblay/Lanoue,Quebec,31.5,43.6
44.,Watson/Beland,New Brunswick,41.6,41.6
45.,Nathan/Nathan,Ontario,35.1,40.4
46.,Roenning/Buraas,Denmark,30.5,39.6
47.,Barbarin/Coulot,France,39.1,39.1
48.,Senneker/Visnich,Michigan,36.2,38.2
49.,Bouchard/Charest,Quebec,28.2,38.2
50.,Lee/Kim,Korea,36.0,36.0
51.,Mallett/Jackson,Ontario,32.9,35.3
52.,Wrana/Wrana,Sweden,23.4,34.8
53.,Feldkamp/Villard,Ontario,31.7,33.2
54.,Tiuliakova/Totzek,Germany,26.9,33.1
