Rank,Team,Location,YTD,TOTAL
1.,Thiesse/Dropkin,Minnesota,108.2,108.2
2.,Gill/Hewitt,Australia,95.4,95.4
3.,Kim/Jeong,Korea,88.3,88.3
4.,Skaslien/Nedregotten,Norway,87.4,87.4
5.,Ford/Campbell,Ontario,75.2,75.2
6.,Ye/Yu,China,75.0,75.0
7.,Koana/Aoki,Japan,72.8,72.8
8.,Wrana/Wrana,Sweden,71.3,71.3
9.,Westman/Ahlberg,Sweden,68.7,68.7
10.,Gray-Withers/Pietrangelo,Alberta,68.4,68.4
11.,Dodds/Mouat,Great Britain,65.9,65.9
12.,Zelingrova/Chabicovsky,Czechia,65.3,65.3
13.,Neil/McDonald,Ontario,64.3,64.3
14.,Perret/Rios,Switzerland,53.4,53.4
15.,Adams/Robichaud,New Brunswick,45.4,45.4
16.,Sanscartier/Caron,Quebec,45.3,45.3
17.,Weeks/Steep,Ontario,42.7,42.7
18.,Matsumura/Tanida,Japan,42.0,42.0
19.,Craig/Craig,Ontario,41.9,41.9
20.,Kaldvee/Lill,Estonia,41.5,41.5
21.,Cinnamon/Tao,Alberta,40.1,40.1
22.,Peterman/Gallant,Alberta,39.1,39.1
23.,Schwaller/Schwaller,Switzerland,37.6,37.6
24.,Gionest/Desjardins,Quebec,37.4,37.4
25.,Fenson/Stopera,Minnesota,35.9,35.9
26.,Constantini/Mosaner,Italy,35.8,35.8
27.,Kjaerland/Braenden,Norway,35.4,35.4
28.,Zhang/Wang,China,32.3,32.3
29.,Jones/Laing,Ontario,31.5,31.5
30.,Walczak/Augustyniak,Poland,30.6,30.6
31.,McMillan/Bryce,Scotland,29.6,29.6
32.,Mallett/Jackson,Ontario,29.4,29.4
33.,Schoell/Sutor,Germany,28.9,28.9
34.,Cave/King,Ontario,27.6,27.6
35.,Spruit/Spruit,Ontario,26.5,26.5
36.,Watson/Beland,New Brunswick,26.3,26.3
37.,Maheux/Maheux,Quebec,26.2,26.2
38.,Smith/Niepage,Ontario,26.0,26.0
39.,Engler/Wunderlin,Switzerland,25.9,25.9
40.,Tremblay/Lanoue,Quebec,25.2,25.2
41.,Nathan/Nathan,Ontario,25.1,25.1
42.,Senneker/Visnich,Michigan,24.5,24.5
43.,Gaidule/Buncis,Latvia,22.8,22.8
44.,Martin/Laycock,Saskatchewan,22.7,22.7
45.,Kim/Yoo,Korea,22.0,22.0
46.,Davie/Watt,Scotland,21.7,21.7
47.,Woo/Wenzek,British Columbia,21.0,21.0
48.,Wasylkiw/Konings,Ontario,20.9,20.9
49.,Homan/Bottcher,Alberta,20.8,20.8
50.,Roenning/Buraas,Denmark,20.7,20.7
51.,Wilson/Dow,Ontario,20.2,20.2
52.,Barbarin/Coulot,France,19.6,19.6
53.,Immonen/Sipila,Finland,18.9,18.9
54.,Forster/Forster,Ontario,18.4,18.4
55.,Kawleski/Kauffman,North Dakota,18.2,18.2
56.,Lee/Kim,Korea,18.0,18.0
57.,Abbes/Harsch,Germany,17.7,17.7
58.,Feldkamp/Villard,Ontario,17.6,17.6
59.,Moores/Wheeler,Colorado,16.7,16.7
60.,Klimova/Klima,Czechia,16.4,16.4
61.,Klimova/Klima,Czechia,16.4,16.4
62.,Lott/Lott,Manitoba,16.2,16.2
63.,Kim/Jeong,Korea,16.0,16.0
64.,Fleming/Bestland,Minnesota,15.2,15.2
65.,Sengul/Cakir,Turkiye,14.7,14.7
66.,Cheal/Cheal,Quebec,13.5,13.5
67.,Tiuliakova/Totzek,Germany,13.5,13.5
68.,Bailey/Sipura,Ontario,13.3,13.3
69.,Butler/Butler,Ontario,13.2,13.2
70.,Hagenbuch/Laufer,Illinois,13.0,13.0
