Rank,Team,Location,YTD,TOTAL
1.,Thiesse/Dropkin,Minnesota,212.2,212.2
2.,Gill/Hewitt,Australia,190.7,190.7
3.,Kim/Jeong,Korea,176.6,176.6
4.,Skaslien/Nedregotten,Norway,174.8,174.8
5.,Ye/Yu,China,150.1,150.1
6.,Koana/Aoki,Japan,145.6,145.6
7.,Wrana/Wrana,Sweden,142.7,142.7
8.,Westman/Ahlberg,Sweden,137.5,137.5
9.,Dodds/Mouat,Great Britain,131.8,131.8
10.,Zelingrova/Chabicovsky,Czechia,130.6,130.6
11.,Ford/Campbell,Ontario,119.3,119.3
12.,Perret/Rios,Switzerland,106.8,106.8
13.,Neil/McDonald,Ontario,87.4,87.4
14.,Matsumura/Tanida,Japan,84.0,84.0
15.,Craig/Craig,Ontario,83.9,83.9
16.,Kaldvee/Lill,Estonia,78.6,78.6
17.,Weeks/Steep,Ontario,78.0,78.0
18.,Schwaller/Schwaller,Switzerland,75.3,75.3
19.,Fenson/Stopera,Minnesota,71.8,71.8
20.,Constantini/Mosaner,Italy,71.6,71.6
21.,Kjaerland/Braenden,Norway,70.7,70.7
22.,Adams/Robichaud,New Brunswick,70.3,70.3
23.,Gionest/Desjardins,Quebec,69.9,69.9
24.,Smith/Niepage,Ontario,68.7,68.7
25.,Peterman/Gallant,Alberta,67.2,67.2
26.,Zhang/Wang,China,64.5,64.5
27.,Brunton/Forget,Ontario,63.9,63.9
28.,Sanscartier/Caron,Quebec,61.2,61.2
29.,Walczak/Augustyniak,Poland,61.1,61.1
30.,McMillan/Bryce,Scotland,59.3,59.3
31.,Mallett/Jackson,Ontario,58.7,58.7
32.,Schoell/Sutor,Germany,57.8,57.8
33.,Cave/King,Ontario,55.3,55.3
34.,Gray-Withers/Pietrangelo,Alberta,54.9,54.9
35.,Spruit/Spruit,Ontario,52.9,52.9
36.,Maheux/Maheux,Quebec,52.4,52.4
37.,Jones/Laing,Ontario,51.9,51.9
38.,Engler/Wunderlin,Switzerland,51.7,51.7
39.,Tremblay/Lanoue,Quebec,49.9,49.9
40.,Martin/Laycock,Saskatchewan,49.4,49.4
41.,Nathan/Nathan,Ontario,49.2,49.2
42.,Senneker/Visnich,Michigan,47.6,47.6
43.,Gaidule/Buncis,Latvia,45.6,45.6
44.,Kim/Yoo,Korea,44.0,44.0
45.,Davie/Watt,Scotland,43.5,43.5
46.,Wasylkiw/Konings,Ontario,41.8,41.8
47.,Watson/Beland,New Brunswick,41.6,41.6
48.,Roenning/Buraas,Denmark,41.5,41.5
49.,Wilson/Dow,Ontario,40.4,40.4
50.,Woo/Wenzek,British Columbia,39.2,39.2
51.,Barbarin/Coulot,France,39.1,39.1
52.,Immonen/Sipila,Finland,37.8,37.8
53.,Forster/Forster,Ontario,36.8,36.8
54.,Bouchard/Charest,Quebec,36.7,36.7
55.,Kawleski/Kauffman,North Dakota,36.3,36.3
56.,Lee/Kim,Korea,36.0,36.0
57.,Abbes/Harsch,Germany,35.4,35.4
58.,Feldkamp/Villard,Ontario,35.2,35.2
59.,Moores/Wheeler,Colorado,33.3,33.3
60.,Lott/Lott,Manitoba,32.4,32.4
61.,Kim/Jeong,Korea,32.0,32.0
62.,Fleming/Bestland,Minnesota,30.4,30.4
63.,Sengul/Cakir,Turkiye,29.4,29.4
64.,Walker/Muyres,Alberta,27.3,27.3
65.,Cheal/Cheal,Quebec,27.0,27.0
66.,Tiuliakova/Totzek,Germany,26.9,26.9
67.,Bailey/Sipura,Ontario,26.6,26.6
68.,Butler/Butler,Ontario,26.4,26.4
69.,Cinnamon/Tao,Alberta,26.3,26.3
70.,Hagenbuch/Laufer,Illinois,26.0,26.0
71.,Marchand/Charbonneau,Quebec,25.6,25.6
72.,Udvardi-Palancsa/Tatar,Hungary,25.3,25.3
73.,Klimova/Klima,Czechia,24.5,24.5
74.,Shim/Park,Korea,24.0,24.0
75.,Kim/Kim,Korea,24.0,24.0
76.,Kim/Lee,Korea,24.0,24.0
77.,Park/Kim,Korea,24.0,24.0
78.,Coleman/Robertson,California,23.9,23.9
79.,Burghout/Thompson,Ontario,23.7,23.7
80.,Campbell/Carr,New Brunswick,22.3,22.3
81.,Ford/Krowchuk,Ontario,21.3,21.3
82.,Wynter/Sallaj,New Brunswick,20.8,20.8
83.,Weldon/Franey,Colorado,20.3,20.3
84.,Ryhorchuk/Peterson,Alberta,20.1,20.1
85.,Ostrowski/Nickel,Minnesota,20.1,20.1
86.,Ueno/Yamaguchi,Japan,20.0,20.0
87.,Hueppi/Weiss,Switzerland,19.9,19.9
88.,Blackburn/Fortin,Quebec,19.4,19.4
89.,Remeshylo/Derksen,Saskatchewan,19.3,19.3
90.,Holtermann/Holtermann,Denmark,19.3,19.3
91.,Dudt/Dudt,Pennsylvania,18.8,18.8
92.,Bomas/Gosgens,Netherlands,18.4,18.4
93.,Cull/Garand,Quebec,18.4,18.4
94.,Cottenoir/Martel,Quebec,18.3,18.3
95.,Tonoli/Hoekman,Netherlands,18.3,18.3
96.,Ouellet/Rousseau,Quebec,18.2,18.2
97.,Lee/Kim,Korea,18.0,18.0
98.,Johnston/Johnston,New Brunswick,18.0,18.0
99.,Loken/Tanaka,British Columbia,17.9,17.9
100.,Podoll/Parry,North Dakota,17.9,17.9
101.,Tanguay/Charbonneau,Quebec,17.8,17.8
102.,Neary/Hancock,Newfoundland / Labrador,17.5,17.5
103.,Gagne/Morissette,Quebec,17.1,17.1
104.,Richards/Davies,Alberta,17.1,17.1
