Rank,Team,Location,YTD,TOTAL
1.,Kaldvee/Lill,Estonia,41.3,247.3
2.,Skaslien/Nedregotten,Norway,24.8,213.5
3.,Walker/Muyres,Alberta,30.3,197.4
4.,Koana/Aoki,Japan,23.4,163.6
5.,Matsumura/Tanida,Japan,23.4,161.6
6.,Lott/Lott,Manitoba,7.5,132.4
7.,Roenning/Braenden,Norway,3.4,130.3
8.,Martin/Laycock,Saskatchewan,16.5,115.9
9.,Wrana/Wrana,Sweden,0.0,111.3
10.,Perret/Rios,Switzerland,16.5,103.1
11.,Cotter/Cotter,British Columbia,4.1,98.5
12.,Weagle/Epping,Ontario,0.0,97.3
13.,St-Georges/Asselin,Quebec,0.0,97.1
14.,Gionest/Desjardins,Quebec,11.0,95.5
15.,Schwaller/Schwaller,Switzerland,0.0,95.1
16.,Jones/Laing,Ontario,6.2,94.7
17.,Thiesse/Dropkin,Minnesota,0.0,91.9
18.,Gill/Hewitt,Australia,6.2,91.1
19.,Reese-Hansen/Chester,British Columbia,5.6,90.8
20.,Zheng/Pietrangelo,Ontario,15.0,88.4
21.,Papley/Van Amsterdam,Alberta,0.0,86.3
22.,Kim/Jeong,Korea,0.0,86.3
23.,Anderson/Stopera,Minnesota,18.8,79.6
24.,Sandham/Craig,Ontario,8.5,78.6
25.,Gagne/Morissette,Quebec,6.0,76.3
26.,Paulova/Paul,Czechia,18.0,73.3
27.,Powers/Saunders,Nova Scotia,0.0,73.3
28.,Westman/Ahlberg,Sweden,0.0,71.9
29.,Hamilton/Hamilton,Wisconsin,0.0,70.9
30.,Yang/Tian,China,0.0,69.6
31.,Abbes/Harsch,Germany,13.5,68.8
32.,Peterman/Gallant,Alberta,0.0,68.8
33.,Wasylkiw/Konings,Ontario,0.0,67.3
34.,Zelingrova/Chabicovsky,Czechia,33.8,65.2
35.,Armstrong/Griffith,British Columbia,0.0,64.9
36.,Sluchinski/Sluchinski,Alberta,6.4,63.3
37.,Holterman/Holtermann,Denmark,13.5,62.4
38.,Bouchard/Charest,Quebec,6.0,61.9
39.,Walczak/Augustyniak,Poland,13.5,61.5
40.,Adams/Robichaud,New Brunswick,0.0,60.4
41.,Cheal/Cheal,Quebec,0.0,60.2
42.,Tremblay/Lanoue,Quebec,6.0,60.1
43.,Anderson-Heide/Richardson,Minnesota,10.0,55.1
44.,Tran/Kleiter,Alberta,2.1,50.3
45.,Paetz/Michel,Switzerland,0.0,49.1
46.,Otaegi/Unanue,Spain,5.1,48.9
47.,Engler/Wunderlin,Switzerland,0.0,47.3
48.,Maheux/Maheux,Quebec,8.5,44.7
49.,Moores/Wheeler,Colorado,12.5,44.5
50.,Han/Wang,China,0.0,42.7
51.,Laplante/Gibeau,Quebec,0.8,42.2
52.,Mackenzie/Middleton,British Columbia,8.3,41.1
53.,Ueno/Yamaguchi,Japan,0.0,39.8
54.,Immonen/Sipila,Finland,3.0,39.3
55.,Gamble/Kalthoff,Saskatchewan,0.2,38.8
56.,Sturmay/Kleibrink,Alberta,2.1,37.8
57.,Brunton/Horgan,Ontario,6.0,36.8
58.,Jackson/McFadzean,Great Britain,0.0,36.0
59.,Cottenoir/Martel,Quebec,0.0,35.9
60.,Smith/Thomson,Ontario,0.0,35.4
61.,Geving/Shuster,Minnesota,0.0,35.3
62.,Persinger/Casper,Alaska,3.8,34.8
63.,Farrell/Thurston,Minnesota,0.9,34.5
64.,Bear/Oldenburg,Minnesota,12.5,34.0
65.,Kaare/Padama,Estonia,0.0,33.3
66.,Wiseman/Smith,Newfoundland / Labrador,15.0,30.0
67.,Weeks/Steep,Ontario,0.0,29.6
68.,Neil/McDonald,Ontario,0.0,27.6
69.,Yildiz/Cakir,Turkiye,0.0,27.4
70.,Homan/Bottcher,Alberta,7.5,27.0
71.,Kreviazuk/Mathers,Ontario,0.0,26.3
72.,Schmiemann/Ginter,Alberta,0.0,26.3
73.,Tiuliakova/Totzek,Germany,11.3,26.0
74.,Rhyme/Smith,Minnesota,2.8,25.9
75.,Spruit/Spruit,Ontario,0.0,24.8
76.,Riley/Mullen,Quebec,0.0,24.8
77.,Oestgaard/Eriksen,Norway,5.1,23.4
78.,Hueppi/Weiss,Switzerland,0.0,23.3
79.,Tuck/Tuck Jr.,Ontario,0.0,23.2
80.,Barber/Heidt,Saskatchewan,0.0,23.0
81.,Hasselborg/Eriksson,Sweden,0.0,23.0
82.,Raniseth/Crough,Alberta,6.0,22.6
83.,Forster/Forster,Ontario,0.0,21.8
84.,Myketyn-Driscoll/Saccary,New Brunswick,0.0,21.8
85.,Farkova/Jakl,Czechia,6.8,21.5
86.,Smith/Hood,New Zealand,3.3,21.4
87.,Arbuckle/Macdonell,Manitoba,11.0,21.3
88.,Howald/Lachat-Couchepin,Switzerland,0.0,21.1
89.,de Val/Magnusson,Sweden,0.0,21.0
90.,Springer/Springer,Saskatchewan,3.6,20.9
91.,Tonoli/Gosgens,Netherlands,0.0,20.8
