Rank,Team,Location,YTD,TOTAL
1.,Kaldvee/Lill,Estonia,20.3,226.3
2.,Skaslien/Nedregotten,Norway,24.8,213.5
3.,Walker/Muyres,Alberta,0.0,167.1
4.,Koana/Aoki,Japan,5.1,145.3
5.,Matsumura/Tanida,Japan,0.0,138.3
6.,Lott/Lott,Manitoba,7.5,132.4
7.,Roenning/Braenden,Norway,3.4,130.3
8.,Wrana/Wrana,Sweden,0.0,111.3
9.,Martin/Laycock,Saskatchewan,0.0,99.4
10.,Weagle/Epping,Ontario,0.0,97.3
11.,St-Georges/Asselin,Quebec,0.0,97.1
12.,Schwaller/Schwaller,Switzerland,0.0,95.1
13.,Cotter/Cotter,British Columbia,0.0,94.4
14.,Thiesse/Dropkin,Minnesota,0.0,91.9
15.,Jones/Laing,Ontario,0.0,88.5
16.,Zheng/Pietrangelo,Ontario,15.0,88.4
17.,Perret/Rios,Switzerland,0.0,86.6
18.,Papley/Van Amsterdam,Alberta,0.0,86.3
19.,Kim/Jeong,Korea,0.0,86.3
20.,Reese-Hansen/Chester,British Columbia,0.0,85.1
21.,Gill/Hewitt,Australia,0.0,84.9
22.,Gionest/Desjardins,Quebec,0.0,84.5
23.,Anderson/Stopera,Minnesota,18.8,79.6
24.,Powers/Saunders,Nova Scotia,0.0,73.3
25.,Paulova/Paul,Czechia,18.0,73.3
26.,Westman/Ahlberg,Sweden,0.0,71.9
27.,Hamilton/Hamilton,Wisconsin,0.0,70.9
28.,Gagne/Morissette,Quebec,0.0,70.3
29.,Sandham/Craig,Ontario,0.0,70.1
30.,Yang/Tian,China,0.0,69.6
31.,Abbes/Harsch,Germany,13.5,68.8
32.,Peterman/Gallant,Alberta,0.0,68.8
33.,Wasylkiw/Konings,Ontario,0.0,67.3
34.,Zelingrova/Chabicovsky,Czechia,33.8,65.2
35.,Armstrong/Griffith,British Columbia,0.0,64.9
36.,Holterman/Holtermann,Denmark,13.5,62.4
37.,Walczak/Augustyniak,Poland,13.5,61.5
38.,Adams/Robichaud,New Brunswick,0.0,60.4
39.,Cheal/Cheal,Quebec,0.0,60.2
40.,Sluchinski/Sluchinski,Alberta,0.0,56.9
41.,Bouchard/Charest,Quebec,0.0,55.9
42.,Anderson-Heide/Richardson,Minnesota,10.0,55.1
43.,Tremblay/Lanoue,Quebec,0.0,54.1
44.,Paetz/Michel,Switzerland,0.0,49.1
45.,Otaegi/Unanue,Spain,5.1,48.9
46.,Tran/Kleiter,Alberta,0.0,48.2
47.,Engler/Wunderlin,Switzerland,0.0,47.3
48.,Moores/Wheeler,Colorado,12.5,44.5
49.,Han/Wang,China,0.0,42.7
50.,Laplante/Gibeau,Quebec,0.0,41.4
51.,Ueno/Yamaguchi,Japan,0.0,39.8
52.,Immonen/Sipila,Finland,3.0,39.3
53.,Mackenzie/Middleton,British Columbia,6.0,38.9
54.,Gamble/Kalthoff,Saskatchewan,0.2,38.8
55.,Brunton/Horgan,Ontario,6.0,36.8
56.,Maheux/Maheux,Quebec,0.0,36.2
