Rank,Team,Location,YTD,TOTAL
1.,Kaldvee/Lill,Estonia,82.8,206.4
2.,Skaslien/Nedregotten,Norway,79.8,193.0
3.,Walker/Muyres,Alberta,55.8,156.0
4.,Koana/Aoki,Japan,70.9,155.0
5.,Matsumura/Tanida,Japan,53.3,136.2
6.,Gill/Hewitt,Australia,69.9,120.9
7.,Martin/Laycock,Saskatchewan,52.3,111.9
8.,Perret/Rios,Switzerland,48.0,100.0
9.,Weagle/Epping,Ontario,38.0,96.4
10.,Sandham/Craig,Ontario,51.3,93.3
11.,Roenning/Braenden,Norway,13.9,90.0
12.,Gionest/Desjardins,Quebec,38.8,89.5
13.,Zheng/Pietrangelo,Ontario,43.5,87.5
14.,Jones/Laing,Ontario,32.2,85.3
15.,Lott/Lott,Manitoba,7.5,82.4
16.,Cotter/Cotter,British Columbia,22.9,79.5
17.,Thiesse/Dropkin,Minnesota,22.5,77.7
18.,Dodds/Mouat,Great Britain,67.8,75.0
19.,Schwaller/Schwaller,Switzerland,16.5,73.6
20.,Abbes/Harsch,Germany,39.0,72.2
21.,Papley/Van Amsterdam,Alberta,19.3,71.0
22.,Tran/Kleiter,Alberta,39.6,68.5
23.,Anderson/Stopera,Minnesota,31.5,68.0
24.,Wrana/Wrana,Sweden,0.0,66.8
25.,Jackson/McFadzean,Great Britain,44.6,66.2
26.,Westman/Ahlberg,Sweden,22.1,65.3
27.,Reese-Hansen/Chester,British Columbia,13.1,64.2
28.,Wasylkiw/Konings,Ontario,23.5,63.9
29.,Morrison/Lammie,Great Britain,62.5,63.4
30.,Yang/Tian,China,21.2,63.0
31.,Armstrong/Griffith,British Columbia,23.1,62.1
32.,Bouchard/Charest,Quebec,24.8,58.3
33.,St-Georges/Asselin,Quebec,0.0,58.3
34.,Zelingrova/Chabicovsky,Czechia,38.3,57.1
35.,Sluchinski/Sluchinski,Alberta,22.5,56.7
36.,Hamilton/Hamilton,Wisconsin,12.8,55.3
37.,Gagne/Morissette,Quebec,12.5,54.7
38.,Paulova/Paul,Czechia,20.1,53.2
39.,Kim/Jeong,Korea,0.0,51.8
40.,Adams/Robichaud,New Brunswick,12.0,48.2
41.,Tremblay/Lanoue,Quebec,15.0,47.4
42.,Walczak/Augustyniak,Poland,18.2,47.0
43.,Anderson-Heide/Richardson,Minnesota,19.0,46.1
44.,Holterman/Holtermann,Denmark,15.6,44.9
45.,Smith/Thomson,Ontario,23.6,44.9
46.,Powers/Saunders,Nova Scotia,0.0,44.0
47.,Gamble/Kalthoff,Saskatchewan,18.2,41.3
48.,Peterman/Gallant,Alberta,0.0,41.3
49.,Maheux/Maheux,Quebec,19.0,40.7
50.,Engler/Wunderlin,Switzerland,10.4,38.8
51.,Mackenzie/Middleton,British Columbia,18.9,38.7
52.,Laplante/Gibeau,Quebec,11.8,36.6
53.,Cheal/Cheal,Quebec,0.0,36.1
54.,Otaegi/Unanue,Spain,9.6,35.9
55.,Paetz/Michel,Switzerland,6.2,35.7
56.,Moores/Wheeler,Colorado,15.9,35.1
57.,Neil/McDonald,Ontario,18.5,35.1
58.,Bear/Oldenburg,Minnesota,21.5,34.4
59.,Sturmay/Kleibrink,Alberta,12.6,34.0
60.,Weeks/Steep,Ontario,15.8,33.5
61.,Homan/Bottcher,Alberta,21.1,32.8
62.,de Val/Magnusson,Sweden,16.5,29.1
63.,Springer/Springer,Saskatchewan,18.5,28.9
64.,Cottenoir/Martel,Quebec,7.1,28.7
65.,Immonen/Sipila,Finland,5.9,27.7
66.,Spruit/Spruit,Ontario,12.0,26.9
67.,Woo/Wenzek,British Columbia,19.5,25.9
68.,Henderson/Hardie,Great Britain,19.1,25.7
69.,Han/Wang,China,0.0,25.6
70.,Yildiz/Cakir,Turkiye,8.1,24.5
71.,Brunton/Horgan,Ontario,6.0,24.5
72.,Fellmann/Kovalchuk,Quebec,15.0,24.2
73.,Wiseman/Smith,Newfoundland / Labrador,15.0,24.0
74.,Ueno/Yamaguchi,Japan,0.0,23.9
75.,Arbuckle/Macdonell,Manitoba,16.5,22.7
76.,Parmiter/Burgess,New Brunswick,16.5,22.4
77.,Persinger/Casper,Alaska,3.8,22.4
78.,Geving/Shuster,Minnesota,0.0,21.2
79.,Farrell/Thurston,Minnesota,0.9,21.1
80.,Raniseth/Crough,Alberta,10.5,20.5
81.,Tiuliakova/Totzek,Germany,11.3,20.1
82.,Kaare/Padama,Estonia,0.0,20.0
83.,Bailey/Sipura,Ontario,12.3,19.3
84.,Mallett/Jackson,Ontario,8.6,19.2
85.,Just/Cherpin,Saskatchewan,10.0,18.7
86.,Barber/Heidt,Saskatchewan,3.8,17.6
87.,Roach/Gilbert,Ontario,12.0,17.0
88.,Rhyme/Smith,Minnesota,2.8,16.7
89.,McGovern/Nathan,Ontario,13.8,16.5
90.,Kalk/MacAlpine,Alberta,5.1,16.1
91.,Oestgaard/Eriksen,Norway,5.1,16.1
92.,Hueppi/Weiss,Switzerland,1.9,15.8
93.,Weldon/Franey,Colorado,9.4,15.8
